Sito;;
Data e ora del report;2017/6/4 07:50:32   ;Dalla data;2017/6/3 00:00:00   ;Alla data;2017/6/4 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/6/3 00:15:00   ;20.10     ;54.00     ;30.70     ;36.50     ;29.70     ;38.30     ;29.30     ;39.10     ;30.10     ;37.90     
2017/6/3 00:30:00   ;20.10     ;53.00     ;30.50     ;36.50     ;29.50     ;38.30     ;29.20     ;39.10     ;30.00     ;37.90     
2017/6/3 00:45:00   ;20.10     ;53.40     ;30.50     ;37.00     ;29.40     ;38.30     ;29.10     ;39.10     ;29.90     ;38.40     
2017/6/3 01:00:00   ;20.10     ;55.50     ;30.40     ;37.00     ;29.40     ;38.30     ;29.00     ;39.10     ;29.90     ;38.40     
2017/6/3 01:15:00   ;20.10     ;56.40     ;30.30     ;37.00     ;29.30     ;38.30     ;29.00     ;39.10     ;29.70     ;38.40     
2017/6/3 01:30:00   ;20.10     ;53.40     ;30.20     ;37.00     ;29.20     ;38.80     ;28.90     ;39.10     ;29.70     ;38.40     
2017/6/3 01:45:00   ;20.10     ;54.40     ;30.20     ;37.00     ;29.10     ;38.80     ;28.80     ;39.10     ;29.60     ;38.40     
2017/6/3 02:00:00   ;20.00     ;55.90     ;30.10     ;37.00     ;29.10     ;38.80     ;28.70     ;39.10     ;29.60     ;38.40     
2017/6/3 02:15:00   ;20.00     ;53.30     ;29.90     ;37.50     ;28.90     ;38.80     ;28.70     ;39.60     ;29.50     ;38.40     
2017/6/3 02:30:00   ;20.10     ;53.30     ;29.90     ;37.50     ;28.90     ;38.80     ;28.60     ;39.60     ;29.40     ;38.90     
2017/6/3 02:45:00   ;20.10     ;54.90     ;29.90     ;37.50     ;28.80     ;39.30     ;28.60     ;39.60     ;29.30     ;38.90     
2017/6/3 03:00:00   ;20.10     ;55.60     ;29.80     ;38.00     ;28.80     ;39.30     ;28.50     ;39.60     ;29.30     ;38.90     
2017/6/3 03:15:00   ;20.10     ;53.10     ;29.70     ;38.00     ;28.70     ;39.30     ;28.40     ;39.60     ;29.20     ;39.40     
2017/6/3 03:30:00   ;20.10     ;53.00     ;29.60     ;38.00     ;28.60     ;39.80     ;28.30     ;40.10     ;29.10     ;39.40     
2017/6/3 03:45:00   ;20.10     ;54.60     ;29.50     ;38.00     ;28.50     ;39.80     ;28.30     ;40.10     ;29.00     ;39.40     
2017/6/3 04:00:00   ;20.10     ;54.50     ;29.40     ;38.50     ;28.40     ;39.80     ;28.20     ;40.10     ;28.90     ;39.90     
2017/6/3 04:15:00   ;20.10     ;55.30     ;29.40     ;38.50     ;28.30     ;40.30     ;28.10     ;40.10     ;28.90     ;39.90     
