Sito;;
Data e ora del report;2017/6/10 07:50:26  ;Dalla data;2017/6/9 00:00:00   ;Alla data;2017/6/10 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/6/9 00:15:00   ;20.10     ;55.40     ;22.90     ;48.60     ;22.80     ;48.40     ;21.90     ;50.60     ;22.30     ;50.50     
2017/6/9 00:30:00   ;20.10     ;54.50     ;22.80     ;49.10     ;22.70     ;48.90     ;21.80     ;50.60     ;22.20     ;50.50     
2017/6/9 00:45:00   ;20.10     ;54.40     ;22.60     ;49.10     ;22.60     ;48.90     ;21.70     ;50.60     ;22.20     ;51.00     
2017/6/9 01:00:00   ;20.10     ;53.00     ;22.60     ;49.60     ;22.60     ;48.90     ;21.70     ;51.10     ;22.10     ;51.00     
2017/6/9 01:15:00   ;20.10     ;55.50     ;22.50     ;49.60     ;22.50     ;48.90     ;21.60     ;51.10     ;22.10     ;51.00     
2017/6/9 01:30:00   ;20.00     ;55.70     ;22.50     ;49.60     ;22.50     ;48.90     ;21.60     ;51.10     ;22.00     ;51.00     
2017/6/9 01:45:00   ;20.10     ;55.50     ;22.40     ;49.60     ;22.50     ;48.90     ;21.50     ;51.10     ;21.90     ;51.50     
2017/6/9 02:00:00   ;20.10     ;54.00     ;22.30     ;50.10     ;22.40     ;48.90     ;21.50     ;51.60     ;21.90     ;51.50     
2017/6/9 02:15:00   ;20.10     ;53.30     ;22.30     ;50.10     ;22.40     ;48.90     ;21.40     ;51.60     ;21.80     ;51.50     
2017/6/9 02:30:00   ;20.10     ;52.40     ;22.20     ;50.10     ;22.30     ;49.40     ;21.40     ;51.60     ;21.70     ;52.00     
2017/6/9 02:45:00   ;20.10     ;55.30     ;22.20     ;50.10     ;22.30     ;49.40     ;21.30     ;51.60     ;21.70     ;52.00     
2017/6/9 03:00:00   ;20.10     ;54.50     ;22.10     ;50.10     ;22.30     ;49.40     ;21.20     ;51.60     ;21.60     ;52.00     
2017/6/9 03:15:00   ;20.10     ;52.90     ;22.10     ;50.10     ;22.20     ;49.40     ;21.20     ;51.60     ;21.60     ;52.00     
2017/6/9 03:30:00   ;20.10     ;54.50     ;22.00     ;50.10     ;22.10     ;49.40     ;21.10     ;51.60     ;21.50     ;52.00     
2017/6/9 03:45:00   ;20.10     ;55.50     ;22.00     ;50.10     ;22.10     ;49.40     ;21.10     ;51.60     ;21.40     ;52.00     
2017/6/9 04:00:00   ;20.10     ;53.60     ;21.90     ;50.60     ;22.00     ;49.40     ;21.00     ;51.60     ;21.40     ;52.00     
2017/6/9 04:15:00   ;20.10     ;52.80     ;21.90     ;50.60     ;22.00     ;49.40     ;21.00     ;51.60     ;21.30     ;52.00     
2017/6/9 04:30:00   ;20.10     ;55.50     ;21.70     ;50.60     ;21.90     ;49.40     ;20.90     ;51.60     ;21.30     ;52.00     
2017/6/9 04:45:00   ;20.00     ;54.60     ;21.70     ;50.60     ;21.90     ;49.40     ;20.90     ;52.10     ;21.20     ;52.00     
2017/6/9 05:00:00   ;20.10     ;52.90     ;21.70     ;50.60     ;21.90     ;49.40     ;20.80     ;52.10     ;21.20     ;52.00     
2017/6/9 05:15:00   ;20.10     ;55.40     ;21.60     ;50.60     ;21.80     ;49.40     ;20.70     ;52.10     ;21.10     ;52.00     
2017/6/9 05:30:00   ;20.00     ;54.70     ;21.60     ;50.60     ;21.70     ;49.40     ;20.70     ;52.10     ;21.00     ;52.00     
2017/6/9 05:45:00   ;20.10     ;53.00     ;21.50     ;50.60     ;21.70     ;49.40     ;20.70     ;52.10     ;21.00     ;52.00     
2017/6/9 06:00:00   ;20.00     ;55.70     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;21.00     ;52.00     
2017/6/9 06:15:00   ;20.10     ;54.00     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;20.90     ;52.00     
2017/6/9 06:30:00   ;20.10     ;54.80     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;20.90     ;52.00     
2017/6/9 06:45:00   ;20.10     ;54.70     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;20.90     ;52.00     
2017/6/9 07:00:00   ;20.10     ;53.30     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;20.90     ;52.00     
2017/6/9 07:15:00   ;20.00     ;55.40     ;21.50     ;50.60     ;21.60     ;49.40     ;20.60     ;52.10     ;21.00     ;52.00     
2017/6/9 07:30:00   ;20.10     ;53.50     ;21.70     ;50.60     ;21.70     ;49.40     ;20.70     ;52.10     ;21.00     ;52.00     
2017/6/9 07:45:00   ;20.00     ;55.10     ;21.70     ;50.60     ;21.70     ;49.40     ;20.80     ;52.10     ;21.10     ;52.00     
2017/6/9 08:00:00   ;20.10     ;54.50     ;21.80     ;50.60     ;21.80     ;49.40     ;20.90     ;52.10     ;21.20     ;52.00     
2017/6/9 08:15:00   ;20.10     ;53.10     ;21.90     ;50.60     ;21.90     ;49.90     ;21.00     ;52.10     ;21.30     ;52.50     
2017/6/9 08:30:00   ;20.20     ;52.60     ;22.10     ;51.10     ;22.00     ;49.90     ;21.10     ;52.10     ;21.40     ;52.50     
2017/6/9 08:45:00   ;20.20     ;52.60     ;22.30     ;51.10     ;22.10     ;50.40     ;21.30     ;52.10     ;21.60     ;52.50     
2017/6/9 09:00:00   ;20.30     ;53.10     ;22.40     ;51.60     ;22.30     ;50.90     ;21.40     ;52.10     ;21.70     ;53.00     
2017/6/9 09:15:00   ;20.20     ;55.40     ;22.70     ;51.60     ;22.40     ;50.90     ;21.60     ;53.10     ;21.90     ;53.00     
2017/6/9 09:30:00   ;20.20     ;55.80     ;23.20     ;51.60     ;22.60     ;51.40     ;21.80     ;53.10     ;22.10     ;53.50     
2017/6/9 09:45:00   ;20.20     ;55.40     ;23.70     ;51.10     ;22.80     ;51.40     ;22.00     ;53.10     ;22.20     ;53.50     
2017/6/9 10:00:00   ;20.20     ;55.00     ;23.90     ;51.10     ;22.90     ;51.90     ;22.20     ;53.10     ;22.40     ;53.50     
2017/6/9 10:15:00   ;20.20     ;54.50     ;23.90     ;50.60     ;23.00     ;51.90     ;22.30     ;53.10     ;22.70     ;54.00     
2017/6/9 10:30:00   ;20.20     ;54.40     ;23.90     ;51.60     ;23.10     ;52.40     ;22.60     ;53.10     ;22.90     ;54.00     
2017/6/9 10:45:00   ;20.20     ;53.70     ;23.90     ;51.60     ;23.40     ;52.40     ;22.80     ;53.10     ;23.10     ;54.00     
2017/6/9 11:00:00   ;20.30     ;55.20     ;24.00     ;51.60     ;23.50     ;51.90     ;22.90     ;53.10     ;23.20     ;53.50     
2017/6/9 11:15:00   ;20.40     ;54.20     ;24.10     ;51.60     ;23.60     ;51.90     ;23.00     ;53.10     ;23.30     ;53.50     
2017/6/9 11:30:00   ;20.30     ;55.70     ;24.20     ;51.60     ;23.80     ;51.90     ;23.20     ;53.10     ;23.40     ;53.50     
2017/6/9 11:45:00   ;20.30     ;52.20     ;24.30     ;51.60     ;23.90     ;51.90     ;23.30     ;53.10     ;23.60     ;53.50     
2017/6/9 12:00:00   ;20.30     ;52.40     ;24.50     ;51.60     ;24.10     ;51.90     ;23.50     ;53.10     ;23.80     ;53.00     
2017/6/9 12:15:00   ;20.30     ;54.20     ;24.60     ;51.10     ;24.20     ;51.40     ;23.60     ;52.60     ;24.00     ;52.50     
2017/6/9 12:30:00   ;20.30     ;55.30     ;24.80     ;50.60     ;24.30     ;50.90     ;23.70     ;51.60     ;24.00     ;52.00     
2017/6/9 12:45:00   ;20.30     ;52.20     ;24.80     ;50.10     ;24.50     ;50.40     ;23.80     ;51.60     ;24.20     ;51.50     
2017/6/9 13:00:00   ;20.30     ;53.00     ;24.90     ;50.10     ;24.60     ;50.40     ;24.00     ;51.10     ;24.30     ;51.50     
2017/6/9 13:15:00   ;20.30     ;53.60     ;25.00     ;50.10     ;24.70     ;50.40     ;24.10     ;51.10     ;24.50     ;51.50     
2017/6/9 13:30:00   ;20.20     ;53.40     ;25.10     ;50.10     ;24.80     ;49.90     ;24.20     ;50.60     ;24.60     ;51.00     
2017/6/9 13:45:00   ;20.20     ;53.80     ;25.20     ;49.60     ;24.90     ;49.40     ;24.30     ;50.60     ;24.70     ;50.50     
2017/6/9 14:00:00   ;20.20     ;53.80     ;25.30     ;49.10     ;25.00     ;49.40     ;24.40     ;50.10     ;24.80     ;50.00     
2017/6/9 14:15:00   ;20.20     ;54.70     ;25.40     ;49.10     ;25.10     ;48.90     ;24.50     ;50.10     ;24.90     ;50.00     
