Sito;;
Data e ora del report;2017/5/25 13:28:33  ;Dalla data;2017/5/25 00:00:00  ;Alla data;2017/5/26 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/5/25 00:15:00  ;20.60     ;53.30     ;27.80     ;42.90     ;26.80     ;45.40     ;26.40     ;46.10     ;27.20     ;44.70     
2017/5/25 00:30:00  ;20.70     ;53.30     ;27.70     ;43.40     ;26.70     ;45.40     ;26.30     ;46.10     ;27.10     ;44.70     
2017/5/25 00:45:00  ;20.50     ;53.50     ;27.60     ;43.40     ;26.60     ;45.90     ;26.30     ;46.10     ;27.10     ;45.20     
2017/5/25 01:00:00  ;20.60     ;53.60     ;27.60     ;43.40     ;26.60     ;45.90     ;26.20     ;46.10     ;27.10     ;45.20     
2017/5/25 01:15:00  ;20.70     ;53.20     ;27.50     ;43.40     ;26.60     ;45.90     ;26.20     ;46.10     ;27.10     ;45.20     
2017/5/25 01:30:00  ;20.70     ;53.30     ;27.50     ;43.40     ;26.50     ;45.90     ;26.10     ;46.60     ;27.00     ;45.20     
2017/5/25 01:45:00  ;20.70     ;51.80     ;27.50     ;43.40     ;26.50     ;45.90     ;26.10     ;46.60     ;27.00     ;45.20     
2017/5/25 02:00:00  ;20.70     ;50.50     ;27.40     ;43.90     ;26.50     ;45.90     ;26.10     ;46.60     ;26.90     ;45.20     
2017/5/25 02:15:00  ;20.60     ;51.00     ;27.40     ;43.90     ;26.40     ;46.40     ;26.00     ;47.10     ;26.90     ;45.70     
2017/5/25 02:30:00  ;20.60     ;51.20     ;27.40     ;43.90     ;26.30     ;46.40     ;26.00     ;47.10     ;26.80     ;45.70     
2017/5/25 02:45:00  ;20.60     ;51.20     ;27.30     ;43.90     ;26.30     ;46.40     ;25.90     ;47.10     ;26.80     ;45.70     
2017/5/25 03:00:00  ;20.60     ;50.90     ;27.30     ;43.90     ;26.20     ;46.40     ;25.80     ;47.10     ;26.70     ;45.70     
2017/5/25 03:15:00  ;20.60     ;51.60     ;27.10     ;44.40     ;26.20     ;46.90     ;25.80     ;47.10     ;26.60     ;46.20     
2017/5/25 03:30:00  ;20.60     ;51.90     ;27.10     ;44.40     ;26.10     ;46.90     ;25.80     ;47.10     ;26.60     ;46.20     
2017/5/25 03:45:00  ;20.60     ;52.20     ;26.90     ;44.40     ;26.00     ;46.90     ;25.70     ;47.10     ;26.50     ;46.20     
2017/5/25 04:00:00  ;20.60     ;52.20     ;26.90     ;44.40     ;25.90     ;46.90     ;25.60     ;47.60     ;26.40     ;46.20     
2017/5/25 04:15:00  ;20.50     ;52.30     ;26.80     ;44.90     ;25.90     ;46.90     ;25.60     ;47.60     ;26.40     ;46.20     
2017/5/25 04:30:00  ;20.60     ;52.30     ;26.80     ;44.90     ;25.80     ;46.90     ;25.50     ;47.60     ;26.30     ;46.20     
2017/5/25 04:45:00  ;20.50     ;52.20     ;26.70     ;44.90     ;25.70     ;47.40     ;25.40     ;47.60     ;26.30     ;46.20     
2017/5/25 05:00:00  ;20.50     ;51.80     ;26.60     ;44.90     ;25.60     ;47.40     ;25.30     ;47.60     ;26.20     ;46.20     
2017/5/25 05:15:00  ;20.50     ;51.70     ;26.50     ;44.90     ;25.50     ;47.40     ;25.30     ;47.60     ;26.10     ;46.70     
2017/5/25 05:30:00  ;20.50     ;51.80     ;26.50     ;44.90     ;25.50     ;47.40     ;25.20     ;47.60     ;26.00     ;46.70     
2017/5/25 05:45:00  ;20.60     ;51.70     ;26.40     ;44.90     ;25.40     ;47.40     ;25.10     ;47.60     ;26.00     ;46.70     
2017/5/25 06:00:00  ;20.60     ;51.10     ;26.30     ;44.90     ;25.40     ;47.40     ;25.00     ;47.60     ;25.90     ;46.70     
2017/5/25 06:15:00  ;20.60     ;51.20     ;26.30     ;44.90     ;25.30     ;47.40     ;24.90     ;48.10     ;25.80     ;46.70     
2017/5/25 06:30:00  ;20.60     ;51.00     ;26.30     ;44.90     ;25.30     ;47.40     ;24.80     ;48.10     ;25.80     ;46.70     
2017/5/25 06:45:00  ;20.60     ;50.70     ;26.30     ;44.90     ;25.30     ;47.40     ;24.80     ;48.10     ;25.80     ;46.70     
2017/5/25 07:00:00  ;20.70     ;51.60     ;26.30     ;44.90     ;25.30     ;47.40     ;24.80     ;48.10     ;25.80     ;46.70     
2017/5/25 07:15:00  ;20.50     ;53.90     ;26.30     ;44.40     ;25.30     ;47.40     ;24.80     ;48.10     ;25.80     ;46.20     
2017/5/25 07:30:00  ;20.40     ;54.10     ;26.40     ;44.40     ;25.30     ;46.90     ;24.80     ;48.10     ;25.80     ;46.20     
2017/5/25 07:45:00  ;20.50     ;53.60     ;26.40     ;43.90     ;25.40     ;46.90     ;24.90     ;48.10     ;25.80     ;46.20     
2017/5/25 08:00:00  ;20.50     ;53.10     ;26.60     ;42.40     ;25.40     ;44.60     ;25.00     ;44.80     ;25.90     ;44.20     
2017/5/25 08:15:00  ;20.60     ;51.80     ;26.30     ;39.80     ;25.30     ;42.50     ;25.00     ;42.60     ;25.80     ;41.70     
2017/5/25 08:30:00  ;20.60     ;52.90     ;26.50     ;39.30     ;25.50     ;41.50     ;25.00     ;42.60     ;25.80     ;41.20     
2017/5/25 08:45:00  ;20.60     ;51.80     ;26.70     ;39.30     ;25.70     ;41.00     ;25.20     ;42.10     ;26.00     ;41.20     
2017/5/25 09:00:00  ;20.60     ;53.20     ;27.10     ;39.30     ;25.90     ;41.00     ;25.50     ;43.20     ;26.20     ;41.70     
2017/5/25 09:15:00  ;20.70     ;51.50     ;27.30     ;39.30     ;26.10     ;41.00     ;25.70     ;43.20     ;26.40     ;41.70     
2017/5/25 09:30:00  ;20.80     ;51.70     ;27.70     ;38.80     ;26.20     ;41.00     ;25.70     ;43.20     ;26.50     ;41.70     
2017/5/25 09:45:00  ;20.70     ;52.30     ;27.80     ;38.80     ;26.30     ;41.00     ;25.80     ;42.70     ;26.50     ;41.70     
2017/5/25 10:00:00  ;20.60     ;53.10     ;27.90     ;38.30     ;26.30     ;41.00     ;25.80     ;41.60     ;26.60     ;40.70     
2017/5/25 10:15:00  ;20.80     ;52.20     ;28.10     ;37.80     ;26.50     ;40.50     ;26.10     ;41.60     ;26.80     ;40.70     
2017/5/25 10:30:00  ;20.90     ;50.20     ;28.10     ;37.30     ;26.60     ;39.50     ;26.20     ;40.50     ;26.90     ;39.10     
2017/5/25 10:45:00  ;20.70     ;53.40     ;27.70     ;36.80     ;26.30     ;39.00     ;25.80     ;39.40     ;26.60     ;38.60     
2017/5/25 11:00:00  ;20.80     ;52.10     ;27.50     ;36.80     ;26.10     ;38.50     ;25.80     ;38.90     ;26.50     ;38.60     
2017/5/25 11:15:00  ;20.80     ;52.50     ;27.40     ;36.80     ;26.10     ;38.50     ;25.70     ;38.90     ;26.40     ;38.60     
2017/5/25 11:30:00  ;20.70     ;52.50     ;27.30     ;36.80     ;26.00     ;38.50     ;25.60     ;38.90     ;26.30     ;38.60     
2017/5/25 11:45:00  ;20.80     ;50.40     ;27.60     ;36.30     ;26.30     ;38.50     ;25.80     ;38.90     ;26.50     ;38.60     
2017/5/25 12:00:00  ;20.60     ;53.50     ;27.60     ;36.30     ;26.40     ;38.50     ;25.90     ;38.90     ;26.60     ;38.60     
