Sito;;
Data e ora del report;2017/6/1 08:12:07   ;Dalla data;2017/6/1 00:00:00   ;Alla data;2017/6/2 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/6/1 00:15:00   ;19.80     ;54.80     ;29.80     ;42.20     ;28.80     ;43.80     ;28.40     ;44.50     ;29.20     ;42.90     
2017/6/1 00:30:00   ;19.80     ;56.60     ;29.80     ;42.20     ;28.80     ;43.80     ;28.40     ;44.50     ;29.10     ;42.90     
2017/6/1 00:45:00   ;19.80     ;54.60     ;29.70     ;42.20     ;28.70     ;43.80     ;28.30     ;44.50     ;29.10     ;42.90     
2017/6/1 01:00:00   ;19.70     ;57.10     ;29.60     ;42.20     ;28.60     ;43.80     ;28.30     ;44.50     ;29.10     ;42.90     
2017/6/1 01:15:00   ;19.80     ;54.10     ;29.60     ;42.20     ;28.60     ;43.80     ;28.20     ;44.50     ;29.00     ;42.90     
2017/6/1 01:30:00   ;19.80     ;55.30     ;29.50     ;42.20     ;28.50     ;43.80     ;28.10     ;44.50     ;28.90     ;42.90     
2017/6/1 01:45:00   ;19.80     ;56.90     ;29.40     ;42.20     ;28.40     ;43.80     ;28.10     ;44.50     ;28.80     ;42.90     
2017/6/1 02:00:00   ;19.80     ;53.90     ;29.40     ;42.20     ;28.40     ;43.80     ;28.00     ;44.50     ;28.80     ;42.90     
2017/6/1 02:15:00   ;19.70     ;55.20     ;29.30     ;42.20     ;28.30     ;43.80     ;28.00     ;44.50     ;28.70     ;42.90     
2017/6/1 02:30:00   ;19.70     ;57.40     ;29.30     ;42.20     ;28.20     ;43.80     ;27.90     ;44.50     ;28.70     ;42.90     
2017/6/1 02:45:00   ;19.70     ;53.90     ;29.20     ;42.20     ;28.20     ;43.80     ;27.80     ;44.50     ;28.60     ;42.90     
2017/6/1 03:00:00   ;19.70     ;55.00     ;29.10     ;42.20     ;28.10     ;43.80     ;27.80     ;44.50     ;28.60     ;42.90     
2017/6/1 03:15:00   ;19.60     ;57.30     ;29.00     ;42.20     ;28.00     ;43.80     ;27.70     ;44.50     ;28.50     ;42.90     
2017/6/1 03:30:00   ;19.70     ;54.30     ;29.00     ;42.20     ;28.00     ;43.80     ;27.60     ;44.50     ;28.40     ;42.90     
2017/6/1 03:45:00   ;19.70     ;54.60     ;29.00     ;42.20     ;27.90     ;43.80     ;27.60     ;44.50     ;28.40     ;42.90     
2017/6/1 04:00:00   ;19.70     ;54.40     ;28.90     ;42.20     ;27.80     ;43.80     ;27.60     ;44.50     ;28.30     ;43.40     
2017/6/1 04:15:00   ;19.80     ;55.20     ;28.80     ;42.20     ;27.80     ;43.80     ;27.50     ;44.50     ;28.20     ;43.40     
2017/6/1 04:30:00   ;19.70     ;56.20     ;28.80     ;42.20     ;27.70     ;43.80     ;27.40     ;44.50     ;28.00     ;43.40     
2017/6/1 04:45:00   ;19.80     ;56.80     ;28.70     ;42.20     ;27.60     ;43.80     ;27.30     ;44.50     ;28.00     ;43.40     
2017/6/1 05:00:00   ;19.80     ;53.70     ;28.70     ;42.20     ;27.60     ;43.80     ;27.30     ;44.50     ;28.00     ;43.40     
2017/6/1 05:15:00   ;19.70     ;53.80     ;28.60     ;42.20     ;27.50     ;43.80     ;27.20     ;44.50     ;27.80     ;43.40     
2017/6/1 05:30:00   ;19.80     ;54.20     ;28.50     ;42.20     ;27.40     ;43.80     ;27.10     ;44.50     ;27.80     ;43.40     
2017/6/1 05:45:00   ;19.70     ;54.70     ;28.40     ;42.20     ;27.30     ;43.80     ;27.10     ;44.50     ;27.70     ;43.40     
2017/6/1 06:00:00   ;19.80     ;55.20     ;28.40     ;42.20     ;27.30     ;43.80     ;27.10     ;44.50     ;27.70     ;43.40     
2017/6/1 06:15:00   ;19.70     ;55.10     ;28.40     ;42.20     ;27.30     ;43.80     ;27.00     ;44.50     ;27.70     ;43.40     
2017/6/1 06:30:00   ;19.70     ;55.40     ;28.40     ;42.20     ;27.30     ;43.80     ;27.00     ;44.50     ;27.70     ;43.40     
2017/6/1 06:45:00   ;19.80     ;56.00     ;28.40     ;42.20     ;27.30     ;43.80     ;27.00     ;44.50     ;27.70     ;43.40     
2017/6/1 07:00:00   ;19.80     ;56.30     ;28.40     ;42.20     ;27.30     ;43.80     ;27.00     ;44.50     ;27.70     ;43.40     
2017/6/1 07:15:00   ;19.70     ;57.20     ;28.00     ;45.70     ;27.00     ;48.00     ;26.80     ;47.50     ;27.30     ;48.60     
2017/6/1 07:30:00   ;19.70     ;53.70     ;27.80     ;47.20     ;26.80     ;49.00     ;26.60     ;49.10     ;27.10     ;50.10     
2017/6/1 07:45:00   ;19.70     ;54.50     ;27.70     ;48.20     ;26.70     ;50.00     ;26.40     ;50.60     ;27.00     ;51.10     
2017/6/1 08:00:00   ;19.70     ;56.10     ;27.70     ;48.80     ;26.70     ;50.50     ;26.30     ;51.10     ;27.00     ;51.10     
2017/6/1 08:15:00   ;19.70     ;54.10     ;27.80     ;49.30     ;26.80     ;51.00     ;26.40     ;51.60     ;27.00     ;51.60     
2017/6/1 08:30:00   ;;;;;;;;;;
2017/6/1 08:45:00   ;;;;;;;;;;
2017/6/1 09:00:00   ;;;;;;;;;;
2017/6/1 09:15:00   ;;;;;;;;;;
2017/6/1 09:30:00   ;;;;;;;;;;
2017/6/1 09:45:00   ;;;;;;;;;;
2017/6/1 10:00:00   ;;;;;;;;;;
2017/6/1 10:15:00   ;;;;;;;;;;
2017/6/1 10:30:00   ;;;;;;;;;;
2017/6/1 10:45:00   ;;;;;;;;;;
2017/6/1 11:00:00   ;;;;;;;;;;
2017/6/1 11:15:00   ;;;;;;;;;;
2017/6/1 11:30:00   ;;;;;;;;;;
2017/6/1 11:45:00   ;;;;;;;;;;
2017/6/1 12:00:00   ;;;;;;;;;;
2017/6/1 12:15:00   ;;;;;;;;;;
2017/6/1 12:30:00   ;;;;;;;;;;
2017/6/1 12:45:00   ;;;;;;;;;;
2017/6/1 13:00:00   ;;;;;;;;;;
2017/6/1 13:15:00   ;;;;;;;;;;
2017/6/1 13:30:00   ;;;;;;;;;;
2017/6/1 13:45:00   ;;;;;;;;;;
2017/6/1 14:00:00   ;;;;;;;;;;
2017/6/1 14:15:00   ;;;;;;;;;;
2017/6/1 14:30:00   ;;;;;;;;;;
2017/6/1 14:45:00   ;;;;;;;;;;
2017/6/1 15:00:00   ;;;;;;;;;;
2017/6/1 15:15:00   ;;;;;;;;;;
2017/6/1 15:30:00   ;;;;;;;;;;
2017/6/1 15:45:00   ;;;;;;;;;;
2017/6/1 16:00:00   ;;;;;;;;;;
2017/6/1 16:15:00   ;;;;;;;;;;
2017/6/1 16:30:00   ;;;;;;;;;;
2017/6/1 16:45:00   ;;;;;;;;;;
2017/6/1 17:00:00   ;;;;;;;;;;
2017/6/1 17:15:00   ;;;;;;;;;;
2017/6/1 17:30:00   ;;;;;;;;;;
2017/6/1 17:45:00   ;;;;;;;;;;
2017/6/1 18:00:00   ;;;;;;;;;;
2017/6/1 18:15:00   ;;;;;;;;;;
2017/6/1 18:30:00   ;;;;;;;;;;
2017/6/1 18:45:00   ;;;;;;;;;;
2017/6/1 19:00:00   ;;;;;;;;;;
2017/6/1 19:15:00   ;;;;;;;;;;
2017/6/1 19:30:00   ;;;;;;;;;;
2017/6/1 19:45:00   ;;;;;;;;;;
2017/6/1 20:00:00   ;;;;;;;;;;
2017/6/1 20:15:00   ;;;;;;;;;;
2017/6/1 20:30:00   ;;;;;;;;;;
2017/6/1 20:45:00   ;;;;;;;;;;
2017/6/1 21:00:00   ;;;;;;;;;;
2017/6/1 21:15:00   ;;;;;;;;;;
2017/6/1 21:30:00   ;;;;;;;;;;
2017/6/1 21:45:00   ;;;;;;;;;;
2017/6/1 22:00:00   ;;;;;;;;;;
2017/6/1 22:15:00   ;;;;;;;;;;
2017/6/1 22:30:00   ;;;;;;;;;;
2017/6/1 22:45:00   ;;;;;;;;;;
2017/6/1 23:00:00   ;;;;;;;;;;
2017/6/1 23:15:00   ;;;;;;;;;;
2017/6/1 23:30:00   ;;;;;;;;;;
2017/6/1 23:45:00   ;;;;;;;;;;
2017/6/2 00:00:00   ;;;;;;;;;;
