Sito;;
Data e ora del report;2017/10/31 07:50:46 ;Dalla data;2017/10/30 00:00:00 ;Alla data;2017/10/31 00:00:00 ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/10/30 00:15:00 ;20.10     ;50.30     ;18.00     ;50.50     ;17.80     ;49.80     ;16.80     ;51.90     ;17.60     ;50.50     
2017/10/30 00:30:00 ;20.10     ;49.80     ;17.90     ;50.00     ;17.70     ;49.80     ;16.80     ;51.90     ;17.50     ;50.50     
2017/10/30 00:45:00 ;20.10     ;49.30     ;17.90     ;50.00     ;17.70     ;49.80     ;16.70     ;51.40     ;17.50     ;50.50     
2017/10/30 01:00:00 ;20.10     ;48.80     ;17.80     ;50.00     ;17.70     ;49.30     ;16.70     ;51.40     ;17.40     ;50.50     
2017/10/30 01:15:00 ;20.10     ;48.80     ;17.80     ;49.50     ;17.60     ;49.30     ;16.70     ;51.40     ;17.40     ;50.00     
2017/10/30 01:30:00 ;20.00     ;48.30     ;17.80     ;49.00     ;17.60     ;48.80     ;16.60     ;50.90     ;17.30     ;50.00     
2017/10/30 01:45:00 ;20.00     ;47.80     ;17.70     ;49.00     ;17.50     ;48.80     ;16.50     ;50.90     ;17.30     ;50.00     
2017/10/30 02:00:00 ;20.00     ;50.70     ;17.70     ;49.00     ;17.50     ;48.80     ;16.50     ;50.40     ;17.30     ;49.50     
2017/10/30 02:15:00 ;19.90     ;51.80     ;17.60     ;48.40     ;17.50     ;48.30     ;16.50     ;50.40     ;17.20     ;49.50     
2017/10/30 02:30:00 ;19.90     ;50.30     ;17.60     ;47.90     ;17.50     ;48.30     ;16.50     ;49.90     ;17.20     ;49.00     
2017/10/30 02:45:00 ;19.90     ;49.80     ;17.60     ;47.90     ;17.40     ;47.80     ;16.40     ;49.90     ;17.20     ;49.00     
2017/10/30 03:00:00 ;19.90     ;48.80     ;17.50     ;47.40     ;17.30     ;47.80     ;16.40     ;49.40     ;17.10     ;48.50     
2017/10/30 03:15:00 ;19.90     ;48.30     ;17.50     ;47.40     ;17.30     ;47.30     ;16.30     ;49.40     ;17.10     ;48.50     
2017/10/30 03:30:00 ;19.90     ;48.90     ;17.50     ;47.40     ;17.30     ;47.30     ;16.30     ;49.40     ;17.00     ;48.50     
2017/10/30 03:45:00 ;19.90     ;50.60     ;17.40     ;46.90     ;17.20     ;46.80     ;16.20     ;48.90     ;17.00     ;48.00     
2017/10/30 04:00:00 ;19.90     ;49.60     ;17.40     ;46.40     ;17.20     ;46.80     ;16.20     ;48.40     ;17.00     ;47.50     
2017/10/30 04:15:00 ;19.90     ;49.10     ;17.30     ;46.40     ;17.10     ;46.30     ;16.20     ;47.90     ;16.90     ;47.00     
2017/10/30 04:30:00 ;19.90     ;48.10     ;17.20     ;45.90     ;17.00     ;45.80     ;16.00     ;47.90     ;16.80     ;46.50     
2017/10/30 04:45:00 ;19.90     ;52.40     ;17.20     ;45.40     ;16.90     ;45.80     ;16.00     ;47.40     ;16.70     ;46.00     
2017/10/30 05:00:00 ;19.90     ;51.40     ;17.20     ;44.90     ;16.90     ;45.80     ;15.90     ;46.90     ;16.70     ;46.00     
2017/10/30 05:15:00 ;19.90     ;49.90     ;17.20     ;44.90     ;16.90     ;45.30     ;15.90     ;46.90     ;16.70     ;46.00     
2017/10/30 05:30:00 ;19.80     ;48.90     ;17.10     ;44.90     ;16.90     ;44.80     ;15.90     ;46.90     ;16.70     ;46.00     
2017/10/30 05:45:00 ;19.80     ;51.90     ;17.10     ;44.90     ;16.90     ;44.80     ;15.90     ;46.90     ;16.70     ;46.00     
2017/10/30 06:00:00 ;19.80     ;50.40     ;17.00     ;44.40     ;16.90     ;44.80     ;15.90     ;46.40     ;16.60     ;46.00     
2017/10/30 06:15:00 ;19.80     ;51.80     ;17.00     ;44.40     ;16.90     ;44.80     ;15.90     ;46.40     ;16.60     ;45.50     
2017/10/30 06:30:00 ;19.80     ;51.50     ;16.90     ;44.40     ;16.80     ;44.80     ;15.80     ;46.40     ;16.60     ;45.50     
2017/10/30 06:45:00 ;19.80     ;50.00     ;16.90     ;44.40     ;16.80     ;44.80     ;15.80     ;46.40     ;16.50     ;45.50     
2017/10/30 07:00:00 ;19.80     ;49.00     ;16.90     ;44.40     ;16.80     ;44.30     ;15.70     ;46.40     ;16.50     ;45.50     
2017/10/30 07:15:00 ;19.70     ;52.40     ;16.90     ;44.40     ;16.70     ;44.30     ;15.70     ;46.40     ;16.50     ;45.50     
2017/10/30 07:30:00 ;19.70     ;50.90     ;16.90     ;44.40     ;16.70     ;44.30     ;15.70     ;45.90     ;16.50     ;45.50     
2017/10/30 07:45:00 ;19.70     ;49.40     ;16.80     ;43.90     ;16.70     ;44.30     ;15.70     ;45.90     ;16.50     ;45.00     
2017/10/30 08:00:00 ;19.70     ;51.90     ;16.90     ;43.90     ;16.80     ;43.80     ;15.70     ;45.90     ;16.50     ;45.00     
2017/10/30 08:15:00 ;19.70     ;47.70     ;16.90     ;42.40     ;16.80     ;43.30     ;15.80     ;44.90     ;16.50     ;43.50     
2017/10/30 08:30:00 ;19.60     ;50.10     ;17.10     ;42.40     ;16.90     ;43.30     ;15.90     ;44.90     ;16.60     ;43.50     
2017/10/30 08:45:00 ;19.50     ;50.80     ;17.20     ;42.40     ;16.90     ;43.30     ;15.90     ;44.90     ;16.70     ;43.50     
2017/10/30 09:00:00 ;19.40     ;50.50     ;17.30     ;42.40     ;17.00     ;43.30     ;16.10     ;44.90     ;16.80     ;43.50     
2017/10/30 09:15:00 ;19.40     ;50.90     ;17.40     ;42.40     ;17.20     ;43.30     ;16.20     ;45.40     ;17.00     ;43.50     
2017/10/30 09:30:00 ;19.40     ;49.80     ;17.60     ;42.40     ;17.30     ;43.30     ;16.40     ;45.40     ;17.10     ;44.00     
2017/10/30 09:45:00 ;19.40     ;50.60     ;17.70     ;41.20     ;17.50     ;43.30     ;16.50     ;45.40     ;17.30     ;44.00     
2017/10/30 10:00:00 ;19.40     ;48.80     ;17.90     ;41.20     ;17.60     ;43.30     ;16.70     ;45.40     ;17.40     ;44.50     
2017/10/30 10:15:00 ;19.50     ;49.10     ;18.10     ;42.20     ;17.70     ;43.80     ;16.80     ;45.90     ;17.50     ;44.50     
2017/10/30 10:30:00 ;19.50     ;49.40     ;18.20     ;42.20     ;17.90     ;43.80     ;16.90     ;45.90     ;17.70     ;44.50     
2017/10/30 10:45:00 ;19.60     ;51.10     ;18.30     ;42.20     ;18.00     ;41.20     ;17.10     ;43.40     ;17.80     ;40.90     
2017/10/30 11:00:00 ;19.60     ;50.20     ;18.40     ;42.20     ;18.10     ;41.70     ;17.20     ;44.40     ;17.90     ;42.10     
2017/10/30 11:15:00 ;19.80     ;50.30     ;18.60     ;41.60     ;18.20     ;41.70     ;17.40     ;44.40     ;18.10     ;42.60     
2017/10/30 11:30:00 ;19.80     ;49.60     ;18.80     ;41.60     ;18.40     ;41.70     ;17.50     ;44.40     ;18.20     ;42.60     
2017/10/30 11:45:00 ;19.80     ;50.60     ;18.90     ;41.60     ;18.50     ;41.70     ;17.70     ;44.40     ;18.30     ;43.10     
2017/10/30 12:00:00 ;19.90     ;48.60     ;19.00     ;42.10     ;18.60     ;41.70     ;17.80     ;44.40     ;18.40     ;43.10     
2017/10/30 12:15:00 ;20.00     ;50.00     ;19.10     ;42.10     ;18.70     ;42.70     ;18.00     ;44.40     ;18.50     ;43.10     
2017/10/30 12:30:00 ;20.10     ;50.00     ;19.20     ;42.60     ;18.80     ;43.20     ;18.10     ;43.90     ;18.60     ;43.10     
2017/10/30 12:45:00 ;20.10     ;49.50     ;19.30     ;43.10     ;18.90     ;43.20     ;18.20     ;43.90     ;18.70     ;43.10     
2017/10/30 13:00:00 ;20.10     ;49.50     ;19.30     ;43.10     ;19.00     ;43.20     ;18.30     ;43.90     ;18.80     ;43.10     
2017/10/30 13:15:00 ;20.10     ;49.00     ;19.40     ;43.10     ;19.00     ;43.20     ;18.40     ;43.90     ;19.00     ;43.10     
