Sito;;
Data e ora del report;2017/12/10 07:50:39 ;Dalla data;2017/12/9 00:00:00  ;Alla data;2017/12/10 00:00:00 ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/12/9 00:15:00  ;19.50     ;52.80     ;19.30     ;40.00     ;18.50     ;42.10     ;17.80     ;42.80     ;18.30     ;42.60     
2017/12/9 00:30:00  ;19.50     ;51.80     ;19.20     ;40.00     ;18.40     ;42.10     ;17.80     ;42.80     ;18.30     ;43.10     
2017/12/9 00:45:00  ;19.60     ;51.30     ;19.20     ;40.00     ;18.40     ;42.10     ;17.70     ;42.80     ;18.20     ;43.10     
2017/12/9 01:00:00  ;19.60     ;50.30     ;19.10     ;40.00     ;18.00     ;42.60     ;17.50     ;43.30     ;18.10     ;43.10     
2017/12/9 01:15:00  ;19.60     ;49.80     ;18.90     ;40.00     ;17.80     ;42.60     ;17.30     ;43.30     ;17.90     ;43.10     
2017/12/9 01:30:00  ;19.60     ;49.80     ;18.80     ;40.00     ;17.70     ;42.60     ;17.00     ;43.30     ;17.70     ;43.10     
2017/12/9 01:45:00  ;19.60     ;53.80     ;18.70     ;40.00     ;17.50     ;42.60     ;16.80     ;43.30     ;17.60     ;43.10     
2017/12/9 02:00:00  ;19.60     ;52.30     ;18.50     ;40.00     ;17.30     ;42.60     ;16.70     ;43.30     ;17.40     ;43.10     
2017/12/9 02:15:00  ;19.60     ;51.30     ;18.50     ;40.00     ;17.20     ;42.60     ;16.60     ;43.30     ;17.40     ;43.10     
2017/12/9 02:30:00  ;19.60     ;50.30     ;18.40     ;40.00     ;17.10     ;42.60     ;16.50     ;43.30     ;17.30     ;43.10     
2017/12/9 02:45:00  ;19.60     ;49.80     ;18.30     ;40.00     ;17.00     ;42.60     ;16.50     ;43.30     ;17.30     ;43.10     
2017/12/9 03:00:00  ;19.40     ;53.20     ;18.30     ;40.00     ;17.00     ;42.60     ;16.50     ;43.30     ;17.30     ;43.10     
2017/12/9 03:15:00  ;19.40     ;52.20     ;18.30     ;40.00     ;17.00     ;42.60     ;16.50     ;43.30     ;17.20     ;42.60     
2017/12/9 03:30:00  ;19.40     ;51.20     ;18.20     ;40.00     ;16.90     ;42.60     ;16.40     ;43.30     ;17.10     ;42.60     
2017/12/9 03:45:00  ;19.40     ;50.20     ;18.10     ;40.00     ;16.80     ;42.60     ;16.30     ;43.30     ;17.10     ;42.60     
2017/12/9 04:00:00  ;19.40     ;53.10     ;18.10     ;40.00     ;16.70     ;42.60     ;16.30     ;43.30     ;17.00     ;42.60     
2017/12/9 04:15:00  ;19.40     ;52.10     ;18.00     ;40.00     ;16.70     ;42.60     ;16.20     ;43.30     ;17.00     ;42.60     
2017/12/9 04:30:00  ;19.40     ;50.60     ;17.90     ;40.00     ;16.70     ;42.60     ;16.20     ;43.30     ;16.90     ;42.60     
2017/12/9 04:45:00  ;19.40     ;54.90     ;17.90     ;40.00     ;16.70     ;42.60     ;16.20     ;43.30     ;16.90     ;42.60     
2017/12/9 05:00:00  ;19.20     ;53.70     ;17.80     ;40.00     ;16.70     ;42.60     ;16.10     ;43.30     ;16.90     ;42.60     
2017/12/9 05:15:00  ;19.20     ;52.20     ;17.80     ;40.00     ;16.80     ;42.60     ;16.10     ;43.30     ;16.90     ;42.60     
2017/12/9 05:30:00  ;19.20     ;50.70     ;17.70     ;40.00     ;16.90     ;42.10     ;16.10     ;43.30     ;16.90     ;42.10     
2017/12/9 05:45:00  ;19.20     ;53.10     ;17.70     ;40.00     ;16.80     ;42.10     ;16.10     ;43.30     ;16.90     ;42.10     
2017/12/9 06:00:00  ;19.10     ;53.60     ;17.60     ;40.00     ;16.70     ;42.10     ;16.10     ;43.30     ;16.80     ;42.10     
2017/12/9 06:15:00  ;19.10     ;51.60     ;17.50     ;40.00     ;16.70     ;42.10     ;16.00     ;43.30     ;16.80     ;42.10     
2017/12/9 06:30:00  ;19.20     ;54.40     ;17.40     ;40.00     ;16.70     ;42.10     ;15.90     ;43.30     ;16.80     ;42.10     
2017/12/9 06:45:00  ;19.20     ;52.40     ;17.40     ;40.00     ;16.70     ;42.10     ;15.90     ;43.30     ;16.70     ;42.10     
