Sito;;
Data e ora del report;2017/12/1 07:50:23  ;Dalla data;2017/11/30 00:00:00 ;Alla data;2017/12/1 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/11/30 00:15:00 ;19.50     ;52.50     ;19.90     ;38.50     ;19.00     ;40.40     ;18.60     ;40.50     ;19.00     ;40.80     
2017/11/30 00:30:00 ;19.50     ;52.50     ;19.80     ;38.50     ;19.00     ;40.40     ;18.50     ;40.50     ;18.90     ;40.80     
2017/11/30 00:45:00 ;19.50     ;51.50     ;19.80     ;38.50     ;19.00     ;40.40     ;18.40     ;40.50     ;18.90     ;40.80     
2017/11/30 01:00:00 ;19.50     ;51.00     ;19.70     ;38.50     ;19.00     ;40.40     ;18.40     ;40.50     ;18.80     ;40.80     
2017/11/30 01:15:00 ;19.50     ;50.00     ;19.70     ;38.50     ;18.80     ;40.40     ;18.30     ;41.00     ;18.80     ;40.80     
2017/11/30 01:30:00 ;19.50     ;50.00     ;19.60     ;38.50     ;18.70     ;40.40     ;18.20     ;41.00     ;18.70     ;40.80     
2017/11/30 01:45:00 ;19.50     ;52.10     ;19.50     ;38.50     ;18.60     ;40.40     ;18.10     ;41.00     ;18.60     ;40.80     
2017/11/30 02:00:00 ;19.50     ;52.10     ;19.40     ;38.50     ;18.60     ;40.40     ;18.10     ;41.00     ;18.60     ;40.80     
2017/11/30 02:15:00 ;19.50     ;51.10     ;19.40     ;38.50     ;18.60     ;40.40     ;18.10     ;41.00     ;18.50     ;40.80     
2017/11/30 02:30:00 ;19.50     ;50.60     ;19.40     ;38.50     ;18.60     ;40.40     ;18.00     ;41.00     ;18.50     ;40.80     
2017/11/30 02:45:00 ;19.40     ;50.10     ;19.40     ;38.50     ;18.60     ;40.40     ;18.00     ;41.00     ;18.50     ;40.80     
2017/11/30 03:00:00 ;19.40     ;50.10     ;19.30     ;38.50     ;18.60     ;40.40     ;18.00     ;41.00     ;18.40     ;40.80     
2017/11/30 03:15:00 ;19.40     ;52.70     ;19.30     ;38.50     ;18.60     ;40.40     ;17.90     ;41.00     ;18.40     ;40.80     
2017/11/30 03:30:00 ;19.40     ;51.70     ;19.20     ;38.50     ;18.40     ;40.40     ;17.90     ;41.00     ;18.30     ;40.80     
2017/11/30 03:45:00 ;19.40     ;50.70     ;19.20     ;38.50     ;18.10     ;40.90     ;17.80     ;41.00     ;18.20     ;40.80     
2017/11/30 04:00:00 ;19.40     ;50.20     ;19.10     ;38.50     ;17.90     ;41.40     ;17.80     ;41.00     ;18.20     ;40.80     
2017/11/30 04:15:00 ;19.40     ;52.90     ;19.10     ;38.50     ;17.80     ;41.40     ;17.60     ;41.00     ;18.20     ;40.80     
2017/11/30 04:30:00 ;19.40     ;52.90     ;18.90     ;38.50     ;17.80     ;41.40     ;17.60     ;41.50     ;18.10     ;41.30     
2017/11/30 04:45:00 ;19.40     ;51.90     ;18.90     ;38.50     ;17.90     ;41.40     ;17.50     ;41.50     ;18.10     ;41.30     
2017/11/30 05:00:00 ;19.40     ;50.90     ;18.90     ;38.50     ;18.00     ;41.40     ;17.50     ;41.50     ;18.00     ;41.30     
2017/11/30 05:15:00 ;19.40     ;50.40     ;18.90     ;38.50     ;18.10     ;41.40     ;17.50     ;41.50     ;18.00     ;41.30     
2017/11/30 05:30:00 ;19.40     ;52.50     ;18.90     ;38.50     ;18.10     ;41.40     ;17.50     ;41.50     ;18.00     ;41.30     
2017/11/30 05:45:00 ;19.40     ;52.50     ;18.80     ;38.50     ;18.00     ;41.40     ;17.50     ;41.50     ;18.00     ;41.30     
2017/11/30 06:00:00 ;19.40     ;51.50     ;18.80     ;39.00     ;18.00     ;41.40     ;17.50     ;41.50     ;17.90     ;41.30     
2017/11/30 06:15:00 ;19.40     ;50.50     ;18.70     ;39.00     ;17.90     ;41.40     ;17.40     ;41.50     ;17.90     ;41.30     
2017/11/30 06:30:00 ;19.30     ;50.00     ;18.70     ;39.00     ;17.90     ;41.40     ;17.30     ;42.00     ;17.80     ;41.30     
2017/11/30 06:45:00 ;19.30     ;52.10     ;18.60     ;39.00     ;17.30     ;41.40     ;17.20     ;42.00     ;17.70     ;41.80     
2017/11/30 07:00:00 ;19.30     ;51.60     ;18.60     ;39.00     ;16.90     ;43.40     ;17.20     ;42.00     ;17.60     ;41.80     
2017/11/30 07:15:00 ;19.30     ;50.60     ;18.60     ;39.00     ;17.00     ;43.90     ;17.20     ;42.00     ;17.60     ;41.80     
2017/11/30 07:30:00 ;19.30     ;53.50     ;18.50     ;39.00     ;17.30     ;43.40     ;17.10     ;42.00     ;17.60     ;41.80     
2017/11/30 07:45:00 ;19.30     ;53.00     ;19.10     ;39.50     ;17.90     ;41.90     ;17.50     ;42.00     ;18.10     ;41.80     
2017/11/30 08:00:00 ;19.30     ;51.50     ;20.50     ;37.50     ;19.10     ;39.90     ;18.60     ;40.50     ;19.10     ;40.30     
2017/11/30 08:15:00 ;19.50     ;53.50     ;21.00     ;36.50     ;19.80     ;38.90     ;19.30     ;39.50     ;19.60     ;39.30     
2017/11/30 08:30:00 ;19.80     ;52.10     ;21.40     ;36.50     ;20.20     ;37.90     ;19.80     ;38.50     ;20.00     ;38.80     
2017/11/30 08:45:00 ;20.00     ;52.90     ;21.70     ;36.00     ;20.50     ;37.90     ;20.20     ;38.00     ;20.30     ;38.30     
2017/11/30 09:00:00 ;20.10     ;52.80     ;21.90     ;36.00     ;20.70     ;37.40     ;20.50     ;37.50     ;20.60     ;38.30     
