Sito;;
Data e ora del report;2017/8/24 07:50:55  ;Dalla data;2017/8/23 00:00:00  ;Alla data;2017/8/24 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/8/23 00:15:00  ;21.20     ;48.70     ;23.70     ;46.00     ;24.10     ;44.90     ;23.00     ;47.30     ;23.60     ;46.40     
2017/8/23 00:30:00  ;21.20     ;47.00     ;23.70     ;46.00     ;24.00     ;44.90     ;23.00     ;47.30     ;23.60     ;46.40     
2017/8/23 00:45:00  ;21.20     ;46.20     ;23.70     ;46.50     ;24.00     ;44.90     ;22.90     ;47.30     ;23.50     ;46.40     
2017/8/23 01:00:00  ;21.10     ;49.40     ;23.60     ;46.50     ;23.90     ;44.90     ;22.80     ;47.30     ;23.50     ;46.90     
2017/8/23 01:15:00  ;21.10     ;47.60     ;23.60     ;46.50     ;23.90     ;44.90     ;22.80     ;47.30     ;23.50     ;46.90     
2017/8/23 01:30:00  ;21.10     ;46.10     ;23.50     ;46.50     ;23.80     ;44.90     ;22.70     ;47.30     ;23.40     ;46.90     
2017/8/23 01:45:00  ;21.10     ;49.80     ;23.40     ;46.50     ;23.80     ;44.90     ;22.60     ;47.80     ;23.30     ;46.90     
2017/8/23 02:00:00  ;21.10     ;47.90     ;23.40     ;47.00     ;23.80     ;44.90     ;22.60     ;47.80     ;23.30     ;46.90     
2017/8/23 02:15:00  ;21.00     ;46.70     ;23.30     ;47.00     ;23.70     ;45.40     ;22.50     ;47.80     ;23.20     ;46.90     
2017/8/23 02:30:00  ;21.00     ;49.90     ;23.30     ;47.00     ;23.70     ;45.40     ;22.50     ;47.80     ;23.20     ;47.40     
2017/8/23 02:45:00  ;21.00     ;47.40     ;23.20     ;47.00     ;23.60     ;45.40     ;22.40     ;48.30     ;23.20     ;47.40     
2017/8/23 03:00:00  ;21.00     ;48.80     ;23.20     ;47.50     ;23.60     ;45.40     ;22.40     ;48.30     ;23.10     ;47.40     
2017/8/23 03:15:00  ;21.00     ;48.50     ;23.10     ;47.50     ;23.50     ;45.90     ;22.30     ;48.30     ;23.10     ;47.90     
2017/8/23 03:30:00  ;20.90     ;47.00     ;23.10     ;47.50     ;23.50     ;45.90     ;22.30     ;48.80     ;23.00     ;47.90     
2017/8/23 03:45:00  ;20.90     ;49.00     ;23.00     ;48.00     ;23.40     ;45.90     ;22.20     ;48.80     ;23.00     ;47.90     
2017/8/23 04:00:00  ;20.90     ;47.10     ;23.00     ;48.00     ;23.40     ;45.90     ;22.20     ;48.80     ;22.90     ;47.90     
2017/8/23 04:15:00  ;20.90     ;50.30     ;22.90     ;48.00     ;23.30     ;45.90     ;22.10     ;48.80     ;22.90     ;47.90     
2017/8/23 04:30:00  ;20.90     ;47.50     ;22.80     ;48.00     ;23.30     ;45.90     ;22.10     ;48.80     ;22.80     ;47.90     
2017/8/23 04:45:00  ;20.90     ;50.20     ;22.80     ;48.00     ;23.20     ;46.40     ;22.10     ;48.80     ;22.80     ;48.40     
2017/8/23 05:00:00  ;20.90     ;48.30     ;22.80     ;48.00     ;23.20     ;46.40     ;22.00     ;49.30     ;22.80     ;48.40     
2017/8/23 05:15:00  ;20.90     ;47.10     ;22.80     ;48.50     ;23.20     ;46.40     ;21.90     ;49.30     ;22.70     ;48.40     
2017/8/23 05:30:00  ;20.90     ;49.40     ;22.70     ;48.50     ;23.10     ;46.40     ;21.90     ;49.30     ;22.70     ;48.40     
2017/8/23 05:45:00  ;20.90     ;47.00     ;22.70     ;48.50     ;23.10     ;46.40     ;21.80     ;49.30     ;22.60     ;48.40     
2017/8/23 06:00:00  ;20.90     ;50.40     ;22.60     ;48.50     ;23.00     ;46.40     ;21.80     ;49.30     ;22.60     ;48.40     
2017/8/23 06:15:00  ;20.90     ;47.20     ;22.60     ;48.50     ;23.00     ;46.40     ;21.80     ;49.30     ;22.50     ;48.40     
2017/8/23 06:30:00  ;20.80     ;50.10     ;22.50     ;48.50     ;22.90     ;46.40     ;21.70     ;49.30     ;22.50     ;48.40     
2017/8/23 06:45:00  ;20.80     ;47.20     ;22.50     ;48.50     ;22.90     ;46.40     ;21.70     ;49.30     ;22.50     ;48.40     
2017/8/23 07:00:00  ;20.80     ;49.60     ;22.50     ;48.50     ;22.90     ;46.40     ;21.70     ;49.30     ;22.40     ;48.40     
2017/8/23 07:15:00  ;20.80     ;47.20     ;22.50     ;48.50     ;22.90     ;46.40     ;21.60     ;49.30     ;22.40     ;48.40     
2017/8/23 07:30:00  ;20.80     ;49.90     ;22.50     ;48.50     ;22.90     ;46.40     ;21.60     ;49.30     ;22.40     ;48.40     
2017/8/23 07:45:00  ;20.80     ;47.40     ;22.50     ;48.50     ;22.90     ;46.40     ;21.60     ;49.30     ;22.40     ;48.40     
2017/8/23 08:00:00  ;20.80     ;50.60     ;22.50     ;48.50     ;22.90     ;46.40     ;21.70     ;49.30     ;22.40     ;48.40     
2017/8/23 08:15:00  ;20.70     ;49.10     ;22.60     ;48.50     ;22.90     ;46.40     ;21.70     ;49.30     ;22.50     ;48.40     
2017/8/23 08:30:00  ;20.80     ;50.20     ;22.70     ;48.50     ;22.90     ;46.40     ;21.90     ;49.30     ;22.50     ;48.40     
2017/8/23 08:45:00  ;20.90     ;47.70     ;22.80     ;48.50     ;23.00     ;46.90     ;22.00     ;49.30     ;22.60     ;48.40     
2017/8/23 09:00:00  ;20.90     ;48.50     ;22.90     ;48.50     ;23.10     ;46.90     ;22.20     ;49.30     ;22.70     ;48.40     
2017/8/23 09:15:00  ;20.80     ;48.80     ;23.10     ;48.50     ;23.20     ;47.40     ;22.30     ;49.30     ;22.80     ;48.90     
2017/8/23 09:30:00  ;20.80     ;48.40     ;23.20     ;48.50     ;23.30     ;47.40     ;22.30     ;49.30     ;22.90     ;48.90     
2017/8/23 09:45:00  ;20.80     ;49.90     ;23.30     ;48.50     ;23.40     ;47.40     ;22.50     ;49.30     ;23.00     ;48.90     
2017/8/23 10:00:00  ;21.30     ;49.90     ;23.40     ;48.50     ;23.40     ;47.40     ;22.60     ;49.30     ;23.10     ;48.90     
2017/8/23 10:15:00  ;21.20     ;53.00     ;23.50     ;48.50     ;23.50     ;47.40     ;22.70     ;49.30     ;23.20     ;48.90     
2017/8/23 10:30:00  ;21.20     ;46.30     ;23.60     ;48.50     ;23.60     ;47.40     ;22.80     ;49.30     ;23.30     ;48.90     
2017/8/23 10:45:00  ;21.10     ;45.70     ;23.90     ;48.50     ;23.80     ;47.40     ;23.00     ;49.30     ;23.40     ;48.90     
2017/8/23 11:00:00  ;21.20     ;46.00     ;24.00     ;48.50     ;23.90     ;47.40     ;23.20     ;49.30     ;23.60     ;48.90     
2017/8/23 11:15:00  ;21.20     ;46.50     ;24.20     ;48.50     ;24.00     ;47.40     ;23.40     ;49.30     ;23.80     ;48.90     
2017/8/23 11:30:00  ;21.30     ;48.80     ;24.40     ;48.50     ;24.20     ;47.40     ;23.50     ;49.30     ;23.90     ;48.90     
2017/8/23 11:45:00  ;21.50     ;48.80     ;24.50     ;48.50     ;24.40     ;47.90     ;23.70     ;49.30     ;24.10     ;48.90     
2017/8/23 12:00:00  ;21.60     ;48.80     ;24.70     ;48.50     ;24.50     ;47.90     ;23.80     ;49.30     ;24.20     ;48.90     
2017/8/23 12:15:00  ;21.60     ;49.80     ;24.70     ;49.00     ;24.60     ;48.40     ;23.90     ;49.30     ;24.30     ;49.40     
2017/8/23 12:30:00  ;21.70     ;49.80     ;25.00     ;49.00     ;24.70     ;48.40     ;24.10     ;49.30     ;24.50     ;49.40     
2017/8/23 12:45:00  ;21.60     ;50.30     ;25.10     ;49.00     ;24.80     ;48.40     ;24.20     ;49.30     ;24.60     ;49.40     
2017/8/23 13:00:00  ;21.50     ;51.80     ;25.10     ;49.00     ;24.90     ;48.40     ;24.30     ;49.30     ;24.70     ;49.40     
2017/8/23 13:15:00  ;21.60     ;51.80     ;25.30     ;48.50     ;25.00     ;48.40     ;24.40     ;48.80     ;24.90     ;48.90     
2017/8/23 13:30:00  ;21.50     ;51.80     ;25.40     ;48.50     ;25.10     ;48.40     ;24.50     ;48.80     ;25.00     ;48.90     
2017/8/23 13:45:00  ;21.60     ;51.80     ;25.60     ;48.50     ;25.20     ;48.40     ;24.70     ;48.80     ;25.10     ;48.40     
2017/8/23 14:00:00  ;21.70     ;51.80     ;25.60     ;48.50     ;25.20     ;48.40     ;24.70     ;48.30     ;25.20     ;48.40     
2017/8/23 14:15:00  ;21.30     ;48.80     ;25.80     ;48.00     ;25.30     ;48.40     ;24.80     ;48.30     ;25.30     ;48.40     
2017/8/23 14:30:00  ;21.00     ;48.30     ;25.90     ;48.00     ;25.50     ;47.90     ;25.00     ;48.30     ;25.40     ;48.40     
2017/8/23 14:45:00  ;21.30     ;50.60     ;26.00     ;47.50     ;25.50     ;47.90     ;25.10     ;48.30     ;25.40     ;47.90     
2017/8/23 15:00:00  ;21.80     ;51.60     ;26.20     ;47.00     ;25.60     ;47.90     ;25.20     ;47.80     ;25.60     ;47.90     
2017/8/23 15:15:00  ;21.10     ;49.00     ;26.30     ;47.00     ;25.80     ;47.40     ;25.30     ;47.80     ;25.70     ;47.90     
2017/8/23 15:30:00  ;20.90     ;48.00     ;26.30     ;47.00     ;25.80     ;47.40     ;25.30     ;47.80     ;25.70     ;47.90     
