Sito;;
Data e ora del report;2018/1/10 07:50:53  ;Dalla data;2018/1/9 00:00:00   ;Alla data;2018/1/10 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2018/1/9 00:15:00   ;18.90     ;56.40     ;21.00     ;48.10     ;20.20     ;50.00     ;19.60     ;50.90     ;20.10     ;51.30     
2018/1/9 00:30:00   ;18.90     ;53.50     ;21.00     ;48.10     ;20.10     ;50.00     ;19.50     ;50.90     ;20.00     ;51.30     
2018/1/9 00:45:00   ;18.80     ;56.40     ;21.00     ;47.60     ;20.10     ;50.00     ;19.50     ;50.90     ;20.00     ;51.30     
2018/1/9 01:00:00   ;18.80     ;55.60     ;20.90     ;47.60     ;20.10     ;50.00     ;19.50     ;50.90     ;20.00     ;51.30     
2018/1/9 01:15:00   ;18.80     ;56.10     ;20.90     ;47.60     ;20.00     ;50.00     ;19.40     ;50.90     ;19.90     ;51.30     
2018/1/9 01:30:00   ;18.80     ;55.50     ;20.80     ;47.60     ;20.00     ;50.00     ;19.40     ;50.90     ;19.90     ;51.30     
2018/1/9 01:45:00   ;18.80     ;56.00     ;20.80     ;47.60     ;20.00     ;50.00     ;19.40     ;50.90     ;19.80     ;51.30     
2018/1/9 02:00:00   ;18.80     ;56.90     ;20.80     ;47.60     ;19.90     ;50.00     ;19.30     ;51.40     ;19.80     ;51.30     
2018/1/9 02:15:00   ;18.80     ;54.50     ;20.70     ;47.60     ;19.90     ;50.00     ;19.30     ;51.40     ;19.80     ;51.30     
2018/1/9 02:30:00   ;18.80     ;57.00     ;20.70     ;47.60     ;19.90     ;50.00     ;19.30     ;51.40     ;19.80     ;51.30     
2018/1/9 02:45:00   ;18.80     ;57.10     ;20.70     ;47.60     ;19.80     ;50.50     ;19.20     ;51.40     ;19.70     ;51.30     
2018/1/9 03:00:00   ;18.80     ;54.10     ;20.60     ;47.60     ;19.80     ;50.50     ;19.20     ;51.40     ;19.70     ;51.30     
2018/1/9 03:15:00   ;18.80     ;56.40     ;20.60     ;47.60     ;19.70     ;50.50     ;19.10     ;51.90     ;19.60     ;51.30     
2018/1/9 03:30:00   ;18.80     ;55.40     ;20.50     ;47.60     ;19.70     ;50.50     ;19.10     ;51.90     ;19.60     ;51.80     
2018/1/9 03:45:00   ;18.80     ;56.70     ;20.50     ;47.60     ;19.70     ;50.50     ;19.10     ;51.90     ;19.60     ;51.80     
2018/1/9 04:00:00   ;18.80     ;55.70     ;20.50     ;47.60     ;19.70     ;50.50     ;19.10     ;51.90     ;19.60     ;51.80     
2018/1/9 04:15:00   ;18.80     ;56.30     ;20.50     ;47.60     ;19.70     ;50.50     ;19.00     ;51.90     ;19.50     ;51.80     
2018/1/9 04:30:00   ;18.80     ;57.40     ;20.50     ;47.60     ;19.60     ;50.50     ;19.00     ;51.90     ;19.50     ;51.80     
2018/1/9 04:45:00   ;18.70     ;53.50     ;20.40     ;47.60     ;19.60     ;51.00     ;19.00     ;51.90     ;19.50     ;51.80     
2018/1/9 05:00:00   ;18.70     ;57.10     ;20.40     ;47.60     ;19.50     ;51.00     ;18.90     ;52.40     ;19.50     ;51.80     
2018/1/9 05:15:00   ;18.80     ;57.20     ;20.30     ;47.60     ;19.50     ;51.00     ;18.90     ;52.40     ;19.40     ;51.80     
2018/1/9 05:30:00   ;18.80     ;54.10     ;20.30     ;47.60     ;19.50     ;51.00     ;18.80     ;52.40     ;19.40     ;51.80     
2018/1/9 05:45:00   ;18.80     ;57.20     ;20.20     ;47.60     ;19.40     ;51.50     ;18.80     ;52.90     ;19.30     ;51.80     
2018/1/9 06:00:00   ;18.70     ;55.70     ;20.20     ;47.60     ;19.30     ;51.50     ;18.80     ;52.90     ;19.30     ;52.30     
2018/1/9 06:15:00   ;18.70     ;55.00     ;20.20     ;47.60     ;19.30     ;52.00     ;18.70     ;52.90     ;19.30     ;52.30     
2018/1/9 06:30:00   ;18.70     ;56.80     ;20.20     ;47.60     ;19.20     ;52.00     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 06:45:00   ;18.70     ;55.60     ;20.10     ;48.10     ;19.20     ;52.00     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 07:00:00   ;18.70     ;56.70     ;20.10     ;48.10     ;19.20     ;52.00     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 07:15:00   ;18.70     ;56.40     ;20.10     ;48.10     ;19.20     ;52.00     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 07:30:00   ;18.70     ;54.90     ;20.10     ;48.10     ;19.20     ;52.00     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 07:45:00   ;18.70     ;56.90     ;20.30     ;48.10     ;19.40     ;51.50     ;18.70     ;52.90     ;19.20     ;52.30     
2018/1/9 08:00:00   ;18.70     ;55.30     ;20.90     ;48.10     ;20.00     ;50.50     ;19.10     ;52.90     ;19.70     ;51.80     
2018/1/9 08:15:00   ;18.70     ;57.20     ;22.00     ;46.10     ;20.90     ;48.50     ;20.20     ;49.90     ;20.70     ;49.30     
2018/1/9 08:30:00   ;18.80     ;55.90     ;22.50     ;45.10     ;21.50     ;47.00     ;20.90     ;48.40     ;21.30     ;47.80     
2018/1/9 08:45:00   ;18.80     ;56.40     ;22.80     ;44.60     ;21.80     ;46.50     ;21.10     ;47.90     ;21.50     ;47.80     
2018/1/9 09:00:00   ;18.90     ;56.80     ;22.90     ;44.10     ;22.00     ;46.50     ;20.90     ;47.90     ;21.30     ;47.30     
2018/1/9 09:15:00   ;19.30     ;53.80     ;22.90     ;44.10     ;22.00     ;46.50     ;20.70     ;47.90     ;21.30     ;47.30     
2018/1/9 09:30:00   ;19.80     ;55.10     ;23.00     ;44.10     ;22.10     ;46.50     ;20.80     ;47.90     ;21.20     ;47.30     
2018/1/9 09:45:00   ;19.90     ;51.90     ;22.40     ;44.60     ;21.70     ;46.50     ;20.60     ;48.40     ;21.20     ;47.80     
2018/1/9 10:00:00   ;19.90     ;51.70     ;22.70     ;45.10     ;21.70     ;46.50     ;20.50     ;48.90     ;21.10     ;47.80     
2018/1/9 10:15:00   ;20.10     ;50.70     ;23.00     ;44.60     ;21.80     ;46.50     ;20.80     ;48.90     ;21.30     ;47.80     
2018/1/9 10:30:00   ;20.10     ;52.80     ;22.50     ;45.10     ;21.40     ;47.50     ;20.60     ;48.90     ;21.20     ;47.80     
2018/1/9 10:45:00   ;20.10     ;54.40     ;22.90     ;45.10     ;21.70     ;47.50     ;20.60     ;48.90     ;21.20     ;47.80     
2018/1/9 11:00:00   ;20.10     ;54.60     ;22.40     ;45.10     ;21.30     ;50.00     ;20.40     ;49.40     ;20.90     ;49.40     
2018/1/9 11:15:00   ;20.10     ;51.90     ;22.80     ;45.10     ;21.50     ;48.00     ;20.30     ;50.40     ;20.50     ;51.00     
