Sito;;
Data e ora del report;2018/1/1 07:50:12   ;Dalla data;2017/12/31 00:00:00 ;Alla data;2018/1/1 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/12/31 00:15:00 ;18.90     ;52.20     ;16.20     ;36.20     ;15.20     ;38.40     ;14.70     ;39.20     ;15.30     ;38.60     
2017/12/31 00:30:00 ;18.80     ;54.00     ;16.20     ;36.20     ;15.20     ;38.40     ;14.70     ;39.20     ;15.20     ;38.60     
2017/12/31 00:45:00 ;18.80     ;52.50     ;16.10     ;36.20     ;15.10     ;38.40     ;14.70     ;39.20     ;15.20     ;38.60     
2017/12/31 01:00:00 ;18.80     ;54.50     ;16.00     ;36.20     ;15.10     ;38.40     ;14.70     ;39.20     ;15.10     ;38.60     
2017/12/31 01:15:00 ;18.80     ;53.90     ;16.00     ;36.20     ;15.10     ;38.40     ;14.60     ;39.20     ;15.10     ;38.60     
2017/12/31 01:30:00 ;18.80     ;53.30     ;16.00     ;36.20     ;15.10     ;38.40     ;14.50     ;39.20     ;15.00     ;38.60     
2017/12/31 01:45:00 ;18.80     ;54.70     ;15.80     ;36.20     ;15.00     ;38.40     ;14.50     ;39.20     ;15.00     ;38.60     
2017/12/31 02:00:00 ;18.80     ;55.40     ;15.80     ;36.20     ;15.00     ;38.40     ;14.40     ;39.20     ;14.90     ;38.60     
2017/12/31 02:15:00 ;18.80     ;52.90     ;15.80     ;36.20     ;15.00     ;38.40     ;14.40     ;39.20     ;14.90     ;38.60     
2017/12/31 02:30:00 ;18.80     ;54.40     ;15.80     ;36.20     ;14.90     ;38.40     ;14.40     ;39.20     ;14.90     ;38.60     
2017/12/31 02:45:00 ;18.80     ;57.40     ;15.80     ;36.20     ;14.90     ;38.40     ;14.30     ;39.20     ;14.90     ;38.60     
2017/12/31 03:00:00 ;18.80     ;52.40     ;15.80     ;36.20     ;14.90     ;38.40     ;14.30     ;39.20     ;14.80     ;38.60     
2017/12/31 03:15:00 ;18.80     ;53.90     ;15.70     ;36.20     ;14.80     ;38.40     ;14.20     ;39.20     ;14.80     ;38.60     
2017/12/31 03:30:00 ;18.80     ;55.30     ;15.60     ;36.20     ;14.80     ;38.40     ;14.20     ;39.20     ;14.70     ;38.60     
