Sito;;
Data e ora del report;2018/1/4 07:50:35   ;Dalla data;2018/1/3 00:00:00   ;Alla data;2018/1/4 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2018/1/3 00:15:00   ;19.30     ;54.80     ;18.00     ;38.70     ;16.90     ;40.90     ;16.30     ;42.20     ;16.80     ;41.10     
2018/1/3 00:30:00   ;19.30     ;52.80     ;18.00     ;38.70     ;16.90     ;40.90     ;16.30     ;42.20     ;16.70     ;41.10     
2018/1/3 00:45:00   ;19.30     ;51.30     ;17.90     ;38.70     ;16.80     ;40.90     ;16.20     ;42.20     ;16.70     ;41.10     
2018/1/3 01:00:00   ;19.30     ;57.30     ;17.80     ;38.70     ;16.70     ;40.90     ;16.20     ;42.20     ;16.60     ;41.10     
2018/1/3 01:15:00   ;19.30     ;53.80     ;17.80     ;38.70     ;16.70     ;40.90     ;16.10     ;42.20     ;16.60     ;41.10     
2018/1/3 01:30:00   ;19.30     ;51.80     ;17.70     ;38.70     ;16.60     ;40.90     ;16.10     ;42.20     ;16.50     ;41.10     
2018/1/3 01:45:00   ;19.30     ;52.00     ;17.70     ;38.70     ;16.60     ;40.90     ;16.00     ;42.20     ;16.40     ;41.10     
2018/1/3 02:00:00   ;19.10     ;54.50     ;17.50     ;38.70     ;16.50     ;40.90     ;15.90     ;42.20     ;16.40     ;41.10     
2018/1/3 02:15:00   ;19.10     ;53.00     ;17.50     ;38.70     ;16.50     ;40.90     ;15.90     ;42.20     ;16.40     ;41.10     
2018/1/3 02:30:00   ;19.10     ;51.00     ;17.50     ;38.70     ;16.40     ;40.90     ;15.90     ;42.20     ;16.30     ;41.10     
2018/1/3 02:45:00   ;19.10     ;54.30     ;17.40     ;38.70     ;16.40     ;40.90     ;15.80     ;42.20     ;16.30     ;41.10     
2018/1/3 03:00:00   ;19.10     ;52.30     ;17.40     ;38.70     ;16.30     ;40.90     ;15.70     ;42.20     ;16.20     ;41.10     
2018/1/3 03:15:00   ;19.10     ;50.80     ;17.40     ;38.70     ;16.30     ;40.90     ;15.70     ;42.20     ;16.20     ;41.10     
2018/1/3 03:30:00   ;19.00     ;54.20     ;17.30     ;38.70     ;16.20     ;40.90     ;15.70     ;42.20     ;16.20     ;41.10     
2018/1/3 03:45:00   ;19.00     ;52.70     ;17.20     ;38.70     ;16.20     ;40.90     ;15.60     ;42.20     ;16.10     ;41.10     
2018/1/3 04:00:00   ;19.00     ;52.80     ;17.20     ;38.70     ;16.10     ;40.90     ;15.50     ;42.20     ;16.00     ;41.10     
2018/1/3 04:15:00   ;19.10     ;54.40     ;17.10     ;38.70     ;16.00     ;40.90     ;15.50     ;42.20     ;15.90     ;41.10     
2018/1/3 04:30:00   ;19.10     ;52.40     ;17.00     ;38.70     ;16.00     ;40.90     ;15.40     ;42.20     ;15.90     ;41.10     
2018/1/3 04:45:00   ;19.10     ;57.80     ;17.00     ;38.70     ;15.90     ;40.90     ;15.40     ;42.20     ;15.80     ;41.10     
2018/1/3 05:00:00   ;18.90     ;54.80     ;16.90     ;38.70     ;15.80     ;40.90     ;15.30     ;42.20     ;15.80     ;41.10     
2018/1/3 05:15:00   ;18.90     ;52.30     ;16.90     ;38.70     ;15.80     ;40.90     ;15.20     ;42.20     ;15.70     ;41.10     
2018/1/3 05:30:00   ;19.00     ;56.30     ;16.90     ;38.70     ;15.70     ;40.90     ;15.10     ;42.20     ;15.70     ;41.10     
2018/1/3 05:45:00   ;19.00     ;53.30     ;16.80     ;38.70     ;15.70     ;40.90     ;15.10     ;42.20     ;15.60     ;41.10     
2018/1/3 06:00:00   ;19.00     ;51.30     ;16.70     ;38.70     ;15.70     ;40.90     ;15.00     ;42.20     ;15.50     ;41.10     
2018/1/3 06:15:00   ;19.00     ;54.20     ;16.60     ;38.70     ;15.60     ;40.90     ;15.00     ;42.20     ;15.50     ;41.10     
2018/1/3 06:30:00   ;19.00     ;51.70     ;16.60     ;38.70     ;15.50     ;40.90     ;14.90     ;42.20     ;15.40     ;41.10     
2018/1/3 06:45:00   ;19.00     ;55.60     ;16.50     ;38.70     ;15.50     ;40.90     ;14.80     ;42.20     ;15.30     ;41.10     
2018/1/3 07:00:00   ;19.00     ;52.60     ;16.50     ;38.70     ;15.30     ;40.90     ;14.70     ;42.20     ;15.30     ;41.10     
2018/1/3 07:15:00   ;19.00     ;58.30     ;16.50     ;38.70     ;15.30     ;40.90     ;14.70     ;42.20     ;15.30     ;41.10     
2018/1/3 07:30:00   ;18.80     ;55.60     ;16.40     ;38.70     ;15.40     ;40.90     ;14.70     ;42.20     ;15.30     ;41.10     
2018/1/3 07:45:00   ;18.80     ;53.10     ;17.40     ;37.70     ;16.20     ;39.90     ;15.00     ;42.20     ;15.70     ;40.60     
2018/1/3 08:00:00   ;19.00     ;55.00     ;19.30     ;34.70     ;18.20     ;36.40     ;16.40     ;39.70     ;17.10     ;38.60     
2018/1/3 08:15:00   ;19.00     ;53.50     ;20.20     ;33.20     ;19.20     ;34.40     ;17.10     ;38.20     ;17.80     ;37.10     
2018/1/3 08:30:00   ;19.40     ;51.00     ;20.70     ;32.70     ;19.80     ;33.40     ;17.70     ;37.20     ;18.30     ;36.60     
2018/1/3 08:45:00   ;19.70     ;53.30     ;21.00     ;32.20     ;20.10     ;33.40     ;18.10     ;36.70     ;18.70     ;36.10     
