Sito;;
Data e ora del report;2018/4/1 07:50:28   ;Dalla data;2018/3/31 00:00:00  ;Alla data;2018/4/1 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2018/3/31 00:15:00  ;19.20     ;52.20     ;21.20     ;49.40     ;20.30     ;51.80     ;19.50     ;54.70     ;20.20     ;52.80     
2018/3/31 00:30:00  ;19.20     ;50.60     ;21.20     ;49.40     ;20.20     ;51.80     ;19.50     ;54.70     ;20.20     ;52.80     
2018/3/31 00:45:00  ;19.20     ;55.00     ;21.10     ;49.40     ;20.20     ;51.80     ;19.40     ;54.70     ;20.20     ;52.80     
2018/3/31 01:00:00  ;19.20     ;53.90     ;21.10     ;49.40     ;20.10     ;51.80     ;19.30     ;54.70     ;20.10     ;52.80     
2018/3/31 01:15:00  ;19.20     ;51.50     ;21.00     ;49.40     ;20.10     ;51.80     ;19.30     ;54.70     ;20.10     ;52.80     
2018/3/31 01:30:00  ;19.10     ;51.90     ;21.00     ;49.40     ;20.00     ;51.80     ;19.30     ;54.70     ;20.10     ;52.80     
2018/3/31 01:45:00  ;19.10     ;55.10     ;20.80     ;49.40     ;19.90     ;51.80     ;19.20     ;54.70     ;20.00     ;52.80     
2018/3/31 02:00:00  ;19.10     ;53.40     ;20.80     ;49.40     ;19.90     ;51.80     ;19.20     ;54.70     ;19.90     ;52.80     
2018/3/31 02:15:00  ;19.10     ;52.30     ;20.80     ;49.40     ;19.80     ;51.80     ;19.20     ;54.70     ;19.90     ;52.80     
2018/3/31 02:30:00  ;19.10     ;53.70     ;20.80     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.90     ;52.80     
2018/3/31 02:45:00  ;19.10     ;54.90     ;20.80     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.90     ;52.80     
2018/3/31 03:00:00  ;19.00     ;53.50     ;20.80     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.80     ;52.80     
2018/3/31 03:15:00  ;19.00     ;51.20     ;20.70     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.80     ;52.80     
2018/3/31 03:30:00  ;19.00     ;55.60     ;20.70     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.80     ;52.80     
2018/3/31 03:45:00  ;19.00     ;54.50     ;20.70     ;49.40     ;19.80     ;52.30     ;19.10     ;54.70     ;19.80     ;52.80     
2018/3/31 04:00:00  ;19.00     ;52.60     ;20.60     ;49.40     ;19.70     ;52.30     ;19.00     ;54.70     ;19.70     ;53.30     
