Sito;;
Data e ora del report;2017/10/10 07:50:35 ;Dalla data;2017/10/9 00:00:00  ;Alla data;2017/10/10 00:00:00 ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/10/9 00:15:00  ;20.00     ;50.50     ;21.50     ;45.80     ;21.10     ;46.30     ;20.40     ;47.70     ;21.10     ;46.80     
2017/10/9 00:30:00  ;19.90     ;51.70     ;21.50     ;45.30     ;21.00     ;46.30     ;20.30     ;47.70     ;21.10     ;46.30     
2017/10/9 00:45:00  ;19.90     ;52.50     ;21.50     ;45.30     ;21.00     ;46.30     ;20.30     ;47.70     ;21.10     ;46.30     
2017/10/9 01:00:00  ;19.90     ;51.60     ;21.40     ;45.30     ;20.90     ;46.30     ;20.30     ;47.70     ;21.00     ;46.30     
2017/10/9 01:15:00  ;19.90     ;53.20     ;21.40     ;45.30     ;20.90     ;46.30     ;20.30     ;47.20     ;21.00     ;46.30     
2017/10/9 01:30:00  ;19.90     ;50.70     ;21.40     ;45.30     ;20.80     ;46.30     ;20.30     ;47.20     ;20.90     ;46.30     
2017/10/9 01:45:00  ;19.90     ;53.30     ;21.30     ;45.30     ;20.80     ;46.30     ;20.20     ;47.20     ;20.90     ;46.30     
2017/10/9 02:00:00  ;19.90     ;51.60     ;21.20     ;44.80     ;20.70     ;45.80     ;20.10     ;47.20     ;20.80     ;46.30     
2017/10/9 02:15:00  ;19.80     ;53.30     ;21.20     ;44.80     ;20.70     ;45.80     ;20.10     ;47.20     ;20.80     ;46.30     
2017/10/9 02:30:00  ;19.80     ;51.80     ;21.10     ;44.80     ;20.70     ;45.80     ;20.00     ;47.20     ;20.70     ;46.30     
2017/10/9 02:45:00  ;19.80     ;51.20     ;21.10     ;44.80     ;20.60     ;45.80     ;20.00     ;47.20     ;20.70     ;46.30     
2017/10/9 03:00:00  ;19.80     ;51.20     ;21.00     ;44.80     ;20.60     ;45.80     ;19.90     ;47.20     ;20.60     ;45.80     
2017/10/9 03:15:00  ;19.80     ;52.30     ;21.00     ;44.80     ;20.60     ;45.80     ;19.90     ;46.70     ;20.60     ;45.80     
2017/10/9 03:30:00  ;19.80     ;52.20     ;20.90     ;44.80     ;20.50     ;45.80     ;19.90     ;46.70     ;20.50     ;45.80     
2017/10/9 03:45:00  ;19.80     ;52.20     ;20.90     ;44.80     ;20.50     ;45.80     ;19.80     ;46.70     ;20.50     ;45.80     
2017/10/9 04:00:00  ;19.70     ;52.30     ;20.90     ;44.80     ;20.40     ;45.30     ;19.80     ;46.20     ;20.40     ;45.80     
2017/10/9 04:15:00  ;19.70     ;50.60     ;20.80     ;44.80     ;20.40     ;45.30     ;19.80     ;46.20     ;20.40     ;45.80     
2017/10/9 04:30:00  ;19.70     ;53.50     ;20.80     ;44.80     ;20.30     ;45.30     ;19.70     ;46.20     ;20.40     ;45.80     
2017/10/9 04:45:00  ;19.70     ;50.60     ;20.80     ;44.80     ;20.30     ;45.30     ;19.70     ;46.20     ;20.30     ;45.80     
2017/10/9 05:00:00  ;19.70     ;53.30     ;20.80     ;44.80     ;20.30     ;45.30     ;19.70     ;46.20     ;20.30     ;45.80     
2017/10/9 05:15:00  ;19.70     ;50.40     ;20.80     ;44.80     ;20.30     ;45.30     ;19.70     ;46.20     ;20.30     ;45.80     
2017/10/9 05:30:00  ;19.70     ;53.10     ;20.70     ;44.80     ;20.20     ;45.30     ;19.70     ;46.20     ;20.30     ;45.80     
2017/10/9 05:45:00  ;19.70     ;53.50     ;20.70     ;44.80     ;20.20     ;45.30     ;19.60     ;46.20     ;20.30     ;45.80     
2017/10/9 06:00:00  ;19.70     ;49.80     ;20.70     ;44.80     ;20.20     ;45.30     ;19.60     ;46.20     ;20.20     ;45.80     
2017/10/9 06:15:00  ;19.60     ;53.60     ;20.60     ;44.80     ;20.10     ;45.30     ;19.60     ;46.20     ;20.20     ;45.80     
2017/10/9 06:30:00  ;19.60     ;50.40     ;20.50     ;44.80     ;20.10     ;45.30     ;19.50     ;46.20     ;20.10     ;45.80     
2017/10/9 06:45:00  ;19.60     ;53.80     ;20.50     ;44.80     ;20.10     ;45.30     ;19.40     ;46.20     ;20.10     ;45.80     
2017/10/9 07:00:00  ;19.60     ;51.00     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;46.20     ;20.10     ;45.80     
2017/10/9 07:15:00  ;19.60     ;53.40     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;46.20     ;20.00     ;45.80     
2017/10/9 07:30:00  ;19.60     ;51.90     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;46.20     ;20.00     ;45.80     
2017/10/9 07:45:00  ;19.60     ;52.00     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;46.20     ;20.00     ;45.80     
2017/10/9 08:00:00  ;19.60     ;53.60     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;46.20     ;20.00     ;45.80     
2017/10/9 08:15:00  ;19.60     ;51.80     ;20.50     ;44.80     ;20.00     ;45.30     ;19.40     ;47.70     ;20.00     ;46.30     
2017/10/9 08:30:00  ;19.60     ;51.60     ;20.50     ;45.30     ;20.00     ;45.30     ;19.30     ;47.70     ;20.00     ;46.80     
2017/10/9 08:45:00  ;19.80     ;51.90     ;20.60     ;45.30     ;20.00     ;45.30     ;19.40     ;47.70     ;20.00     ;46.80     
2017/10/9 09:00:00  ;19.90     ;52.00     ;20.70     ;45.30     ;20.00     ;45.30     ;19.40     ;47.70     ;20.10     ;46.80     
2017/10/9 09:15:00  ;19.90     ;51.40     ;20.70     ;45.30     ;20.10     ;45.30     ;19.40     ;47.70     ;20.20     ;46.80     
2017/10/9 09:30:00  ;19.80     ;50.00     ;20.70     ;45.30     ;20.20     ;45.30     ;19.50     ;47.70     ;20.20     ;46.80     
2017/10/9 09:45:00  ;19.80     ;52.30     ;20.80     ;45.30     ;20.20     ;45.30     ;19.60     ;47.70     ;20.30     ;46.80     
2017/10/9 10:00:00  ;19.80     ;52.60     ;20.90     ;45.30     ;20.30     ;45.30     ;19.70     ;47.70     ;20.40     ;46.80     
2017/10/9 10:15:00  ;19.80     ;51.10     ;21.00     ;45.30     ;20.40     ;45.30     ;19.80     ;47.70     ;20.50     ;46.80     
2017/10/9 10:30:00  ;19.80     ;52.00     ;21.20     ;45.30     ;20.60     ;45.30     ;19.90     ;47.70     ;20.60     ;46.80     
2017/10/9 10:45:00  ;19.80     ;50.90     ;21.30     ;45.30     ;20.70     ;45.30     ;20.10     ;47.70     ;20.70     ;46.80     
2017/10/9 11:00:00  ;19.80     ;51.40     ;21.50     ;45.30     ;20.80     ;45.30     ;20.20     ;47.70     ;20.90     ;46.80     
2017/10/9 11:15:00  ;20.00     ;52.00     ;21.60     ;45.30     ;20.90     ;45.30     ;20.20     ;48.20     ;21.00     ;46.80     
2017/10/9 11:30:00  ;20.10     ;49.60     ;21.60     ;45.30     ;21.00     ;45.30     ;20.20     ;48.20     ;21.00     ;46.80     
2017/10/9 11:45:00  ;20.10     ;51.90     ;21.70     ;45.30     ;21.10     ;45.30     ;20.40     ;48.20     ;21.10     ;46.80     
2017/10/9 12:00:00  ;20.10     ;50.10     ;22.00     ;45.30     ;21.30     ;45.30     ;20.60     ;48.20     ;21.30     ;46.80     
2017/10/9 12:15:00  ;20.10     ;50.90     ;22.10     ;45.30     ;21.50     ;45.30     ;20.80     ;48.20     ;21.50     ;46.80     
2017/10/9 12:30:00  ;20.10     ;51.10     ;22.10     ;45.30     ;21.60     ;45.30     ;20.90     ;48.20     ;21.60     ;46.80     
2017/10/9 12:45:00  ;20.10     ;50.70     ;22.10     ;45.30     ;21.60     ;45.30     ;20.90     ;48.20     ;21.60     ;46.80     
2017/10/9 13:00:00  ;20.10     ;51.60     ;22.20     ;45.30     ;21.60     ;45.80     ;21.00     ;48.20     ;21.70     ;46.80     
2017/10/9 13:15:00  ;20.10     ;50.30     ;22.40     ;45.30     ;21.70     ;45.80     ;21.10     ;48.20     ;21.80     ;46.80     
2017/10/9 13:30:00  ;20.10     ;52.30     ;22.50     ;45.30     ;21.90     ;45.80     ;21.30     ;48.20     ;21.90     ;46.80     
2017/10/9 13:45:00  ;20.10     ;49.00     ;22.50     ;45.80     ;22.00     ;45.80     ;21.40     ;48.20     ;22.00     ;46.80     
2017/10/9 14:00:00  ;20.10     ;51.90     ;22.60     ;45.80     ;22.00     ;45.80     ;21.50     ;48.20     ;22.10     ;47.30     
2017/10/9 14:15:00  ;20.20     ;49.60     ;22.80     ;45.80     ;22.30     ;45.80     ;21.70     ;48.20     ;22.30     ;47.30     
2017/10/9 14:30:00  ;20.10     ;52.50     ;22.80     ;46.30     ;22.30     ;45.80     ;21.70     ;48.20     ;22.30     ;47.30     
2017/10/9 14:45:00  ;20.10     ;52.00     ;22.80     ;46.80     ;22.30     ;46.30     ;21.70     ;48.70     ;22.30     ;47.80     
2017/10/9 15:00:00  ;20.00     ;50.90     ;22.80     ;46.80     ;22.30     ;46.80     ;21.70     ;48.70     ;22.40     ;47.80     
2017/10/9 15:15:00  ;20.00     ;49.90     ;23.00     ;46.80     ;22.40     ;46.80     ;21.90     ;48.70     ;22.50     ;47.80     
2017/10/9 15:30:00  ;19.90     ;53.30     ;23.00     ;46.80     ;22.50     ;46.80     ;22.00     ;48.70     ;22.60     ;47.80     
2017/10/9 15:45:00  ;20.00     ;53.50     ;23.10     ;46.80     ;22.50     ;47.30     ;22.10     ;48.70     ;22.60     ;47.80     
2017/10/9 16:00:00  ;20.00     ;51.20     ;23.10     ;47.30     ;22.60     ;47.30     ;22.10     ;48.70     ;22.70     ;47.80     
