Sito;;
Data e ora del report;2017/10/12 07:50:18 ;Dalla data;2017/10/11 00:00:00 ;Alla data;2017/10/12 00:00:00 ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/10/11 00:15:00 ;20.20     ;52.60     ;22.40     ;52.00     ;21.80     ;52.30     ;21.20     ;53.90     ;21.90     ;53.20     
2017/10/11 00:30:00 ;20.10     ;50.50     ;22.40     ;52.00     ;21.80     ;52.30     ;21.20     ;53.90     ;21.90     ;53.20     
2017/10/11 00:45:00 ;20.10     ;49.30     ;22.30     ;52.00     ;21.70     ;52.30     ;21.20     ;53.90     ;21.90     ;53.20     
2017/10/11 01:00:00 ;20.10     ;52.80     ;22.30     ;52.00     ;21.70     ;52.30     ;21.10     ;53.90     ;21.80     ;53.20     
2017/10/11 01:15:00 ;20.10     ;53.20     ;22.20     ;52.00     ;21.70     ;52.30     ;21.10     ;53.90     ;21.80     ;53.20     
2017/10/11 01:30:00 ;20.10     ;50.70     ;22.20     ;52.00     ;21.60     ;52.30     ;21.10     ;53.90     ;21.70     ;53.20     
2017/10/11 01:45:00 ;20.10     ;52.80     ;22.20     ;52.00     ;21.60     ;52.30     ;21.00     ;53.90     ;21.70     ;53.20     
2017/10/11 02:00:00 ;20.10     ;52.60     ;22.10     ;52.00     ;21.50     ;52.30     ;21.00     ;53.90     ;21.60     ;53.20     
2017/10/11 02:15:00 ;20.10     ;50.70     ;22.10     ;52.00     ;21.50     ;52.30     ;20.90     ;53.90     ;21.60     ;53.20     
2017/10/11 02:30:00 ;20.10     ;52.30     ;22.00     ;52.00     ;21.50     ;52.30     ;20.90     ;53.90     ;21.50     ;53.20     
2017/10/11 02:45:00 ;20.00     ;53.30     ;22.00     ;52.00     ;21.40     ;52.30     ;20.80     ;53.90     ;21.50     ;53.20     
2017/10/11 03:00:00 ;20.00     ;50.60     ;22.00     ;52.00     ;21.40     ;52.30     ;20.80     ;53.90     ;21.40     ;53.20     
2017/10/11 03:15:00 ;20.00     ;52.90     ;21.90     ;52.00     ;21.40     ;52.30     ;20.80     ;53.90     ;21.40     ;53.20     
2017/10/11 03:30:00 ;20.00     ;52.20     ;21.90     ;52.00     ;21.30     ;52.30     ;20.80     ;53.90     ;21.40     ;53.20     
2017/10/11 03:45:00 ;20.00     ;53.20     ;21.80     ;52.00     ;21.30     ;52.30     ;20.70     ;53.90     ;21.40     ;53.20     
2017/10/11 04:00:00 ;19.90     ;49.80     ;21.80     ;52.00     ;21.30     ;52.30     ;20.70     ;53.90     ;21.30     ;53.20     
2017/10/11 04:15:00 ;19.90     ;54.00     ;21.80     ;52.00     ;21.20     ;52.30     ;20.60     ;53.90     ;21.30     ;53.20     
2017/10/11 04:30:00 ;19.90     ;51.90     ;21.70     ;52.00     ;21.10     ;52.30     ;20.60     ;53.90     ;21.20     ;53.20     
