Sito;;
Data e ora del report;2017/5/20 07:50:14  ;Dalla data;2017/5/19 00:00:00  ;Alla data;2017/5/20 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/5/19 00:15:00  ;22.80     ;45.90     ;27.50     ;33.10     ;26.40     ;35.20     ;25.90     ;35.80     ;26.90     ;34.30     
2017/5/19 00:30:00  ;22.70     ;46.40     ;27.30     ;33.10     ;26.30     ;35.20     ;25.90     ;35.80     ;26.80     ;34.80     
2017/5/19 00:45:00  ;22.70     ;46.40     ;27.30     ;33.10     ;26.20     ;35.20     ;25.80     ;36.30     ;26.70     ;34.80     
2017/5/19 01:00:00  ;22.70     ;46.40     ;27.20     ;33.60     ;26.10     ;35.70     ;25.80     ;36.30     ;26.60     ;35.30     
2017/5/19 01:15:00  ;22.60     ;46.40     ;27.10     ;33.60     ;26.00     ;35.70     ;25.50     ;36.80     ;26.50     ;35.30     
2017/5/19 01:30:00  ;22.60     ;46.40     ;27.00     ;33.60     ;25.90     ;35.70     ;25.50     ;36.80     ;26.40     ;35.30     
2017/5/19 01:45:00  ;22.60     ;46.90     ;26.90     ;33.60     ;25.80     ;36.20     ;25.40     ;36.80     ;26.30     ;35.30     
2017/5/19 02:00:00  ;22.50     ;46.90     ;26.80     ;34.10     ;25.70     ;36.20     ;25.20     ;37.30     ;26.20     ;35.80     
2017/5/19 02:15:00  ;22.50     ;46.90     ;26.70     ;34.10     ;25.60     ;36.20     ;25.10     ;37.30     ;26.10     ;35.80     
2017/5/19 02:30:00  ;22.40     ;46.90     ;26.60     ;34.10     ;25.50     ;36.20     ;25.00     ;37.30     ;26.00     ;35.80     
2017/5/19 02:45:00  ;22.40     ;46.90     ;26.50     ;34.10     ;25.40     ;36.20     ;25.00     ;37.30     ;26.00     ;35.80     
2017/5/19 03:00:00  ;22.40     ;46.90     ;26.40     ;34.60     ;25.40     ;36.20     ;24.90     ;37.30     ;25.80     ;35.80     
2017/5/19 03:15:00  ;22.30     ;46.90     ;26.30     ;34.60     ;25.20     ;36.70     ;24.80     ;37.30     ;25.70     ;35.80     
2017/5/19 03:30:00  ;22.30     ;46.90     ;26.30     ;34.60     ;25.20     ;36.70     ;24.70     ;37.80     ;25.60     ;36.30     
2017/5/19 03:45:00  ;22.20     ;46.90     ;26.20     ;34.60     ;25.10     ;36.70     ;24.70     ;37.80     ;25.60     ;36.30     
2017/5/19 04:00:00  ;22.20     ;47.40     ;26.10     ;34.60     ;25.10     ;36.70     ;24.60     ;37.80     ;25.50     ;36.30     
2017/5/19 04:15:00  ;22.20     ;47.40     ;26.10     ;34.60     ;25.00     ;36.70     ;24.60     ;37.80     ;25.40     ;36.30     
2017/5/19 04:30:00  ;22.10     ;47.40     ;26.00     ;35.10     ;24.90     ;37.20     ;24.50     ;37.80     ;25.40     ;36.80     
2017/5/19 04:45:00  ;22.10     ;47.40     ;25.90     ;35.10     ;24.80     ;37.20     ;24.30     ;38.30     ;25.30     ;36.80     
2017/5/19 05:00:00  ;22.10     ;47.40     ;25.90     ;35.10     ;24.80     ;37.20     ;24.30     ;38.30     ;25.20     ;36.80     
2017/5/19 05:15:00  ;22.00     ;47.40     ;25.80     ;35.10     ;24.70     ;37.20     ;24.30     ;38.30     ;25.10     ;36.80     
2017/5/19 05:30:00  ;22.00     ;47.40     ;25.60     ;35.10     ;24.60     ;37.20     ;24.20     ;38.30     ;25.10     ;36.80     
2017/5/19 05:45:00  ;21.90     ;47.40     ;25.60     ;35.10     ;24.50     ;37.20     ;24.10     ;38.30     ;25.00     ;36.80     
2017/5/19 06:00:00  ;21.90     ;47.40     ;25.50     ;35.60     ;24.50     ;37.20     ;24.00     ;38.30     ;24.90     ;36.80     
2017/5/19 06:15:00  ;21.80     ;47.40     ;25.50     ;35.60     ;24.40     ;37.70     ;24.00     ;38.30     ;24.90     ;37.30     
2017/5/19 06:30:00  ;21.80     ;47.40     ;25.50     ;35.60     ;24.40     ;37.70     ;24.00     ;38.30     ;24.80     ;37.30     
2017/5/19 06:45:00  ;21.70     ;47.40     ;25.50     ;35.60     ;24.40     ;37.70     ;24.00     ;38.30     ;24.80     ;37.30     
2017/5/19 07:00:00  ;21.70     ;47.40     ;25.50     ;35.60     ;24.40     ;37.70     ;24.00     ;38.30     ;24.80     ;37.30     
2017/5/19 07:15:00  ;21.70     ;47.40     ;25.50     ;35.60     ;24.40     ;37.70     ;24.00     ;38.30     ;24.80     ;37.30     
2017/5/19 07:30:00  ;21.70     ;47.40     ;25.50     ;35.60     ;24.50     ;37.70     ;24.00     ;38.80     ;24.90     ;37.30     
