Sito;;
Data e ora del report;2017/7/10 07:50:11  ;Dalla data;2017/7/9 00:00:00   ;Alla data;2017/7/10 00:00:00  ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/7/9 00:15:00   ;21.60     ;45.80     ;26.90     ;46.10     ;26.10     ;47.70     ;25.60     ;48.40     ;26.20     ;47.10     
2017/7/9 00:30:00   ;21.60     ;45.90     ;26.80     ;46.10     ;26.00     ;47.70     ;25.50     ;48.40     ;26.20     ;47.60     
2017/7/9 00:45:00   ;21.60     ;46.00     ;26.70     ;46.60     ;26.00     ;47.70     ;25.40     ;48.90     ;26.10     ;48.10     
2017/7/9 01:00:00   ;21.50     ;45.90     ;26.60     ;46.60     ;25.90     ;47.70     ;25.30     ;48.90     ;26.00     ;48.10     
2017/7/9 01:15:00   ;21.50     ;45.60     ;26.50     ;47.10     ;25.70     ;48.20     ;25.20     ;49.40     ;26.00     ;48.10     
2017/7/9 01:30:00   ;21.50     ;46.00     ;26.50     ;47.10     ;25.60     ;48.70     ;25.10     ;49.40     ;25.80     ;48.10     
2017/7/9 01:45:00   ;21.50     ;45.30     ;26.30     ;47.10     ;25.50     ;48.70     ;25.10     ;49.40     ;25.70     ;48.10     
2017/7/9 02:00:00   ;21.50     ;47.40     ;26.30     ;47.10     ;25.40     ;48.70     ;25.00     ;49.40     ;25.70     ;48.10     
2017/7/9 02:15:00   ;21.50     ;45.70     ;26.30     ;47.10     ;25.30     ;48.70     ;24.90     ;49.40     ;25.60     ;48.10     
2017/7/9 02:30:00   ;21.50     ;49.90     ;26.20     ;47.10     ;25.20     ;48.70     ;24.80     ;49.40     ;25.50     ;48.10     
2017/7/9 02:45:00   ;21.40     ;47.90     ;26.10     ;47.10     ;25.10     ;48.70     ;24.70     ;49.40     ;25.30     ;48.60     
2017/7/9 03:00:00   ;21.40     ;46.40     ;26.00     ;47.10     ;25.10     ;48.70     ;24.70     ;49.40     ;25.30     ;48.60     
2017/7/9 03:15:00   ;21.40     ;45.90     ;25.90     ;47.10     ;25.00     ;48.70     ;24.60     ;49.40     ;25.20     ;48.60     
2017/7/9 03:30:00   ;21.40     ;45.70     ;25.80     ;47.10     ;24.90     ;48.70     ;24.50     ;49.40     ;25.10     ;48.60     
2017/7/9 03:45:00   ;21.40     ;47.00     ;25.80     ;47.10     ;24.80     ;49.70     ;24.40     ;50.40     ;25.20     ;48.60     
2017/7/9 04:00:00   ;21.40     ;49.90     ;25.70     ;47.60     ;24.80     ;50.20     ;24.30     ;50.90     ;25.00     ;49.60     
2017/7/9 04:15:00   ;21.40     ;49.70     ;25.60     ;47.60     ;24.70     ;50.70     ;24.30     ;51.40     ;24.90     ;50.60     
2017/7/9 04:30:00   ;21.40     ;48.70     ;25.60     ;47.60     ;24.70     ;50.70     ;24.20     ;51.40     ;24.90     ;50.60     
2017/7/9 04:45:00   ;21.40     ;47.70     ;25.60     ;47.60     ;24.70     ;50.70     ;24.20     ;51.40     ;24.80     ;50.10     
2017/7/9 05:00:00   ;21.40     ;46.90     ;25.50     ;48.10     ;24.60     ;50.70     ;24.10     ;51.40     ;24.70     ;50.10     
2017/7/9 05:15:00   ;21.40     ;46.20     ;25.40     ;48.10     ;24.50     ;50.70     ;24.10     ;51.40     ;24.70     ;50.10     
2017/7/9 05:30:00   ;21.40     ;46.10     ;25.30     ;48.10     ;24.50     ;50.20     ;24.00     ;51.40     ;24.50     ;50.10     
2017/7/9 05:45:00   ;21.40     ;46.10     ;25.20     ;48.10     ;24.40     ;50.20     ;23.90     ;50.90     ;24.50     ;50.10     
2017/7/9 06:00:00   ;21.40     ;49.70     ;25.20     ;48.10     ;24.40     ;50.20     ;23.90     ;50.90     ;24.50     ;50.10     
2017/7/9 06:15:00   ;21.40     ;49.10     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;50.90     ;24.50     ;50.10     
2017/7/9 06:30:00   ;21.40     ;48.30     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;50.90     ;24.50     ;50.10     
2017/7/9 06:45:00   ;21.40     ;47.50     ;25.10     ;48.10     ;24.30     ;50.20     ;23.80     ;50.90     ;24.50     ;50.10     
2017/7/9 07:00:00   ;21.40     ;47.30     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;50.90     ;24.50     ;50.10     
2017/7/9 07:15:00   ;21.40     ;46.60     ;25.20     ;48.10     ;24.30     ;50.20     ;23.70     ;51.40     ;24.50     ;50.10     
2017/7/9 07:30:00   ;21.40     ;45.80     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;51.40     ;24.40     ;50.10     
2017/7/9 07:45:00   ;21.40     ;49.10     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;50.90     ;24.40     ;50.10     
2017/7/9 08:00:00   ;21.40     ;49.20     ;25.20     ;48.10     ;24.30     ;50.20     ;23.80     ;50.40     ;24.40     ;50.10     
2017/7/9 08:15:00   ;21.50     ;47.60     ;25.20     ;48.10     ;24.30     ;49.70     ;23.80     ;50.40     ;24.30     ;50.10     
