Sito;;
Data e ora del report;2017/9/8 07:50:22   ;Dalla data;2017/9/7 00:00:00   ;Alla data;2017/9/8 00:00:00   ;Frequenza;15 min.;
;temp + hr-camera-Temperatura sonda;temp + hr-camera-Umidità sonda;temp + hr-colon A-Temperatura sonda;temp + hr-colon A-Umidità sonda;temp + hr-colon B-Temperatura sonda;temp + hr-colon B-Umidità sonda;temp + hr-colon C-Temperatura sonda;temp + hr-colon C-Umidità sonda;temp + hr-colon D-Temperatura sonda;temp + hr-colon D-Umidità sonda
2017/9/7 00:15:00   ;20.70     ;48.80     ;24.20     ;52.20     ;23.40     ;54.40     ;22.70     ;55.50     ;23.70     ;54.50     
2017/9/7 00:30:00   ;20.70     ;48.30     ;24.20     ;52.20     ;23.40     ;54.40     ;22.70     ;55.50     ;23.70     ;54.50     
2017/9/7 00:45:00   ;20.70     ;49.60     ;24.20     ;52.20     ;23.30     ;54.40     ;22.70     ;55.50     ;23.60     ;54.50     
2017/9/7 01:00:00   ;20.70     ;48.10     ;24.20     ;52.20     ;23.30     ;54.40     ;22.70     ;55.50     ;23.60     ;54.50     
2017/9/7 01:15:00   ;20.70     ;49.70     ;24.10     ;52.20     ;23.30     ;54.40     ;22.60     ;55.50     ;23.60     ;54.50     
2017/9/7 01:30:00   ;20.70     ;48.20     ;24.10     ;52.20     ;23.20     ;54.40     ;22.60     ;55.50     ;23.50     ;54.50     
2017/9/7 01:45:00   ;20.70     ;48.70     ;24.10     ;52.20     ;23.20     ;54.40     ;22.60     ;55.50     ;23.50     ;54.50     
2017/9/7 02:00:00   ;20.70     ;50.20     ;24.10     ;52.70     ;23.20     ;54.40     ;22.60     ;55.50     ;23.50     ;54.50     
2017/9/7 02:15:00   ;20.70     ;48.20     ;24.10     ;52.70     ;23.20     ;54.90     ;22.50     ;55.50     ;23.50     ;54.50     
2017/9/7 02:30:00   ;20.70     ;48.20     ;24.00     ;52.70     ;23.20     ;54.90     ;22.50     ;56.00     ;23.50     ;54.50     
2017/9/7 02:45:00   ;20.60     ;48.20     ;24.00     ;52.70     ;23.10     ;54.90     ;22.50     ;56.00     ;23.40     ;54.50     
